Country,City/region,Period,Host,Overview,year
Cuba,Havana,30 e 31 de janeiro,Host,"
-  Chegada a Havana/Cuba
-  Cerimônia de oferenda floral ao monumento de José Martí
-  Visita ao Memorial José Martí
-  Cerimônia oficial de chegada
-  Reunião com o presidente de Cuba, Raúl Castro
-  Cerimônia de assinatura de atos
-  Almoço oficial em homenagem à Presidenta da República oferecido pelo presidente de Cuba, Raúl Castro
-  Visita às obras do Porto de Mariel

-  [Havana]
-  Partida para Porto Príncipe/Haiti
",2012
Haiti,Port-au-Prince,1º de fevereiro,Host,"
-  Chegada a Porto Príncipe
-  Encontro privado com o Presidente do Haiti, Michel Martelly
-  Reunião ampliada
-  Declaração à imprensa
-  Almoço em homenagem à Presidenta da República oferecido pelo Presidente do Haiti
-  Cerimônia de apresentação do Contingente brasileiro da Missão das Nações Unidas
-  Encontro com representantes empresariais e da sociedade civil brasileira que atuam no
para a Estabilização do Haiti - Minustah
 - Haiti
-  Visita às instalações da Base General Bacellar
-  Partida para Brasília (horário local)",2012
Germany,Hanover,05 e 06 de março,Host,"
-  Cerimônia de abertura da Feira Internacional das Tecnologias da Informação e das
Comunicações - CeBIT 2012
-  Jantar oferecido pela Chanceler Angela Merkel a senhora Presidenta da República,
 - Dilma Rousseff
-  Encontro privado com a Chanceler, Angela Merkel
-  Visita ao Pavilhão do Brasil na Feira Internacional de Tecnologias da Informação e das Comunicações (CEBIT 2012) na companhia da Chanceler Angela Merkel
-  Visita  à  Feira  Internacional  de  Tecnologias  da  Informação  e  das  Comunicações (CEBIT 2012)
-  Declaração à imprensa
-  Almoço oferecido pelo Presidente do Brazil Board da Federação Alemã de
 - Indústrias, Stefan Zoller
-  Partida para Brasília (DF)",2012
India,New Delhi,"27, 28,  29 e 30 de março",Host,"
-  Chegada em Nova Délhi
-  Cerimônia de outorga do título de Doutora ""Honoris Causa"" pela Universidade de Délhi
-  Encontro com o Presidente da África do Sul, Jacob Zuma
-  Apresentação de música e danças típicas
-  Jantar oficial em homenagem aos chefes de Estado do Brasil, da Rússia, da China e da
 - África do Sul
-  Fotografia oficial
-  Sessão restrita da Cúpula do BRICS
-  Sessão ampliada da Cúpula do BRICS
-  Cerimônia de assinatura de atos
-  Apresentação do relatório de Estudo Econômico do BRICS
-  Declaração à imprensa
-  Almoço oferecido pelo Primeiro-Ministro da Índia, Manmohan Singh
-  Encontro com o Presidente da Federação Russa, Dmitri Medvedev
-  Encontro com o Presidente da China, Hu Jintao
-  Cerimônia oficial de chegada
-  Visita ao memorial de Mahatma Gandhi
-  Encontro com o Primeiro-Ministro da Índia, Manmohan Singh
-  Cerimônia de assinatura de atos e declaração à imprensa
-  Cerimônia de encerramento do Seminário Empresarial Brasil - Índia: uma nova fronteira para oportunidade de negócios
-  Reunião privada com a Presidente da República da Índia, Pratibha Patil
-  Cumprimentos às senhoras presidentas do Brasil e da Índia
-  Banquete oferecido pela Presidente da República da Índia, Pratibha Patil
-  Partida para Brasília",2012
United States of America,Washington,08 e 09 de abril,Host,"
-  Chegada a Washington
-  Reunião com o presidente dos Estados Unidos da América, Barack Obama
-  Almoço oferecido pelo presidente dos Estados Unidos da América, Barack Obama
-  Encerramento do Foro de Altos Executivos
-  Encerramento do Seminário ""Brasil-EUA: Parcerias para o Século XXI""
-  Encontro com empresários norte-americanos

-  [Boston]
-  Partida para Boston/EUA
-  Chegada a Boston
-  Visita ao Massachusetts Institute of Technology Media Lab
-  Susan Hockfield -  Presidenta do MIT
-  Mesa redonda com a comunidade acadêmica e científica
-  Cerimônia de assinatura de atos
-  Cerimônia oficial de chegada
-  Almoço oferecido pelo Governador de Massachussetts, Deval Patrick
-  Dra. Drew Faust - Presidenta da Universidade de Harvad
-  Cerimônia de assinatura de atos
-  Fotografia com estudantes brasileiros
-  Palestra na Harvard Kennedy School of Government
-  Partida para Brasília
",2012
Colombia,Cartagena ,14 e 15 de abril,Host,"
-  Painel do ""Fórum CEO das Américas"", acompanhada do Presidente da Colômbia, Juan
 - Manuel Santos Calderón, e do Presidente dos Estados Unidos da América,
 - Barack Obama
-  Cerimônia de abertura da VI Cúpula das Américas
-  Almoço em homenagem aos Chefes de Estado e de Governo, ministros de Relações
 - Exteriores e diretores de Organismos Internacionais, oferecido pelo Presidente da
 - República da Colômbia, Juan Manuel Santos
-  Sessões de trabalho
-  Jantar em homenagem aos Chefes de Estado e de Governo, oferecido pelo Presidente da República da Colômbia, Juan Manuel Santos Calderón, e senhora, com a presença dos ministros de Relações Exteriores
-  Fotografia oficial da VI Cúpula das Américas
-  Retiro dos Chefes de Estado e de Governo
-  Cerimônia de assinatura da declaração da VI Cúpula das Américas
-  Declaração à imprensa
-  Partida para Brasília (DF)",2012
Mexico,Los Cabos,"17, 18 e 19 de junho",Host,"
-  Partida para San José Del Cabo / México
-  Reunião dos Chefes de Estado e de Governo dos BRICS (Brasil, Rússia, Índia China e
 - África do Sul)
-  Encontro com o Presidente do Conselho de Ministros da República Italiana, Mario
 - Monti
-  Encontro com a Chanceler Alemã, Angela Merkel
-  Primeira Sessão de Trabalho do G20
-  Encontro com o Presidente da Federação Russa, Vladimir Putin
-  Jantar de trabalho oferecido pelo Presidente do México, Felipe Calderón, aos Chefes de Estado e de Governo do G20
-  Encontro com a chanceler alemã Angela Merkel
-  Segunda Sessão de Trabalho do G-20
-  Encontro com o presidente do governo espanhol Mariano Rajoy
-  Terceira Sessão de Trabalho do G20
-  Cerimônia de encerramento e adoção da Declaração de Los Cabos pelos chefes de
 - Estado e de Governo do G20
-  Partida para o Rio de Janeiro (RJ)",2012
Argentina,Mendoza,29 de junho,Host,"
-  Café da manhã de trabalho com os Chefes de Estado do Mercosul
-  Abertura da Cúpula de Chefes de Estado do Mercosul e Estados Associados
-  Fotografia Oficial dos Chefes de Estado da Unasul
-  Almoço de trabalho
-  Cúpula Extraordinária de Chefes de Estado da Unasul
-  Declaração à imprensa
-  Partida para Brasília (DF)",2012
United Kingdom,London,"25, 26 e 27 e 28 de julho",Host,"
-  Chegada ao Aeroporto de Farnborough
-  Encontro com o Primeiro-Ministro do Reino Unido, David Cameron
-  Cerimônia de lançamento da Campanha de Promoção Turística do Brasil no Exterior
-  Apresentação do musical “Operalia”
-  Visita ao Centro de Mídia da Record
-  Presidente da Fifa, Joseph Blatter
-  Visita inaugural à exibição sobre Ciência e Tecnologia na Área de Esportes
-  Visita ao Museu de Ciências
-  Encontro com empresários britânicos
-  Visita à Casa Brasil
-  Líder do Partido Trabalhista e da Oposição,  Ed Miliband
-  Almoço com atletas brasileiros
-  Recepção oferecida pela Rainha Elisabeth II
-  Cerimônia de abertura dos Jogos Olímpicos
-  Partida para Brasília",2012
United States of America,New York,23 a 26 de setembro,Host,"
-  Chegada a Nova Iorque
-  Presidente da Comissão Européia, José Manuel Durão Barroso
-  Secretário-Geral das Nações Unidas, Ban Ki-moon
-  Abertura da 67ª Assembleia Geral das Nações Unidas
-  Partida para Brasília",2012
Peru,Lima,02 de outubro,Host,"
-  Chegada a Lima / Peru
-  Abertura da III Cúpula América do Sul - Países Árabes (ASPA)
-  Primeira sessão plenária de Chefes de Estado e de Governo da III Cúpula ASPA
-  Fotografia oficial da III Cúpula ASPA
-  Almoço em homenagem aos Chefes de delegação da III Cúpula ASPA, oferecido pelo
 - Presidente da República do Peru
-  Segunda sessão plenária e encerramento da III Cúpula ASPA
-  Partida para Brasília (DF)",2012
Spain,Cadiz,15 e 16 de novembro,Host,"
-  Chegada a Jerez de la Frontera / Espanha
-  Reunião bilateral com o Presidente do Haiti, Michel Martelly
-  Visita ao Oratório de San Felipe Neri
-  Cerimônia de inauguração da XXII Cúpula Ibero-Americana
-  Recepção em homenagem aos Chefes de Estado e de Governo ibero-americanos oferecida por Sua Majestade, Rei Juan Carlos I da Espanha

-  [Seville]
-  Primeira Sessão Plenária da Cúpula Ibero-Americana
-  Fotografia oficial
-  Almoço oferecido por Sua Majestade, Rei Juan Carlos I da Espanha
-  Segunda Sessão Plenária e encerramento da Cúpula Ibero-Americana
-  Conferência de imprensa
-  Partida para Madri


-  [Madrid]
-  Estudantes brasileiros do programa “Ciência sem Fronteiras” e do ProUni
-  Encontro bilateral com o Presidente de Governo espanhol, Mariano Rajoy
-  Reunião ampliada
-  Fotografia oficial
-  Declaração à imprensa
-  Almoço oferecido por Suas Majestades, Rei Juan Carlos I e Rainha Sofia da Espanha
-  Cerimônia de abertura do Seminário “Brasil en la Senda del Crecimiento”
-  Partida para Brasília/DF
",2012
Argentina,Buenos Aires,28 de novembro,Host,"
-  Encontro com a Presidenta da Argentina, Cristina Fernández de Kirchner
-  Cerimônia de encerramento da 18ª Conferência Industrial Argentina
-  Almoço de encerramento da 18ª Conferência Industrial Argentina",2012
France,Paris,10 a 12 de dezembro,Host,"
-  Chegada a Paris/França
-  Cerimônia oficial de chegada
-  Reunião com o Presidente da Assembleia Nacional “Fórum pelo progresso social: o crescimento como saída da crise”, coorganizado pelo
 - Instituto Lula e pela Fundação Jean Jaurès
-  Encontro privado com o Presidente da República francesa, François Hollande
-  Reunião ampliada
-  Cerimônia de troca de condecorações
-  Cerimônia de assinatura de atos
-  Entrevista coletiva à imprensa
-  Jantar de Estado em homenagem à Presidenta da República,  oferecido pelo
 - Presidente da República francesa e senhora
-  Sessão de abertura da 81ª Assembleia Geral da UIC (União Internacional de Ferrovias
-  Seminário Empresarial: Desafios e Oportunidades de uma Parceria Estratégica
-  Reunião com o Prefeito de Paris, Bertrand Delanoe
-  Cerimônia de boas vindas a Paris
-  Chegada ao Palácio de Luxemburgo
-  Reunião com o Presidente do Senado, senador Jean-Pierre Bel
-  Partida para Moscou / Rússia",2012
