Country,City/region,Period,Host,Overview,year
United States of America,Washington,"11, 12 e 13 de abril",Host," - Partida para Washington
 - Chegada a Washington
 - Almoço privado
 - Encontro com o Primeiro-Ministro da Itália, Silvio Berlusconi
 - Assinatura de ato
 - Encontro com Primeiro-Ministro do Japão, Yukio Hatoyama
 - Encontro com o Primeiro-Ministro da Turquia, Recep Erdogan
 - Recepção  oferecida  aos  membros  da  Cúpula  de  Segurança  Nuclear  pelo  Presidente dos Estados Unidos, Barack Obama
 - Jantar de trabalho oferecido pelo Presidente dos Estados Unidos, Barack Obama, aos membros da Cúpula de Segurança Nuclear
 - Foto oficial dos chefes de delegação
 - Primeira Sessão Plenária da Cúpula de Segurança Nuclear
 - Almoço de trabalho oferecido pelo Presidente dos Estados Unidos, Barack Obama
 - Segunda Sessão Plenária da Cúpula de Segurança Nuclear",2010
Argentina,Buenos Aires and Montevideo,03 e 04 de maio,Host," - Partida para Buenos Aires/Argentina
 - [Buenos Aires]
 - Reunião do Conselho de Chefes de Estado e de Governo da União de Nações Sul- Americanas (Unasul)
 - Foto oficial
 - Almoço oferecido pela presidente da Argentina, Cristina Kirchner
 - [Montevideo]
 - Encontro privado com o presidente do Uruguai, José Mujica
 - Reunião ampliada
 - Entrevista coletiva
 - Jantar oferecido pelo presidente do Uruguai, José Mujica",2010
Uruguay,Buenos Aires and Montevideo,03 e 04 de maio,Host," - Partida para Buenos Aires/Argentina
 - [Buenos Aires]
 - Reunião do Conselho de Chefes de Estado e de Governo da União de Nações Sul- Americanas (Unasul)
 - Foto oficial
 - Almoço oferecido pela presidente da Argentina, Cristina Kirchner
 - [Montevideo]
 - Encontro privado com o presidente do Uruguai, José Mujica
 - Reunião ampliada
 - Entrevista coletiva
 - Jantar oferecido pelo presidente do Uruguai, José Mujica",2010
Russia,Moscow,"12, 13 e 14 de maio",Host," - Partida para Moscou/Rússia
 - Chegada a Moscou
 - Cerimônia de deposição de oferenda floral em memória às vítimas da II Guerra Mundial
 - Fórum Empresarial Brasil-Rússia
 - Encontro com o presidente da Rússia, Dmitri Medvedev
 - Cerimônia de assinatura de atos
 - Almoço oferecido pelo presidente da Rússia, Dmitri Medvedev
 - Declaração à imprensa
 - Encontro com o primeiro-ministro da Rússia, Vladimir Putin
 - Partida para Doha/Catar",2010
Qatar,Doha,14 e 15 de maio,Host," - Chegada a Doha (Catar)
 - Entrevista à rede de televisão Al Jazeera
 - Cerimônia de encerramento do Seminário Empresarial Brasil-Catar
 - Cerimônia oficial de chegada
 - Encontro privado com o Emir do Catar, Hamad bin Khalifa Al Thani
 - Encontro ampliado
 - Cerimônia de assinatura de atos
 - Almoço oferecido pelo Emir do Catar, Hamad bin Khalifa Al Thani
 - Partida final da Copa do Emir, disputada pelos clubes Al-Rayyan e Umm-Salal
 - Partida para Teerã",2010
Iran,Tehran,"15, 16 e 17 de maio",Host," - Chegada a Teerã
 - Reunião privada com o presidente do Irã, Mahmoud Ahmadinejad
 - Reunião ampliada entre as delegações brasileira e iraniana
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - Encontro com o Líder Supremo do Irã, Aiatolá Ali Khamenei
 - Almoço privado
 - Encontro com o presidente da Assembléia Consultiva Islâmica (Parlamento Iraniano), Ali Larijani
 - Cerimônia de encerramento do IV Encontro Empresarial Brasil - Irã
 - Jantar oferecido pelo presidente do Irã, Mahmoud Ahmadinejad Foto oficial da XIV Cúpula do G-15 Sessão de abertura da XIV Cúpula do G-15 Partida para Madri",2010
Spain,Madrid,"17, 18 e 19 de maio",Host," - Chegada a Madri
 - Cúpula Mercosul - União Europeia
 - Sessão inaugural da VI Cúpula América Latina, Caribe e União Europeia
 - Foto oficial da VI Cúpula América Latina, Caribe e União Europeia
 - Reunião Plenária da VI Cúpula América Latina, Caribe e União Europeia
 - Almoço de trabalho oferecido pelo presidente do Governo da Espanha, José Luis Zapatero, aos chefes de Estado e de Governo participantes da VI Cúpula América Latina, Caribe e União Europeia
 - Sessão de encerramento da VI Cúpula América Latina, Caribe e União Europeia
 - Encontro bilateral com o primeiro-ministro da Turquia, Recep Tayyip Erdogan
 - Cerimônia  de  entrega,  ao  presidente  Luiz  Inácio  Lula  da  Silva,  do  prêmio  “Nova Economia Fórum 2010”
 - Café da manhã com a diretoria do Grupo Prisa
 - Abertura do seminário ""Brasil: Parceria para uma Nova Economia Global""
 - Primeiro painel: “Oportunidades de Investimento”
 - Segundo painel: “Fontes de financiamento e marco institucional”
 - Almoço-conferência
 - Partida para Lisboa",2010
Portugal,Lisbon,19 de maio,Host," - Chegada a Lisboa
 - Encontro privado com o presidente de Portugal, Cavaco Silva
 - Cerimônia de entrega do Prêmio Camões
 - Encontro privado com o primeiro-ministro de Portugal, José Sócrates
 - Foto oficial
 - Sessão Plenária da X Cimeira Luso-Brasileira
 - Cerimônia de assinatura de atos e entrevista coletiva
 - Jantar oferecido pelo primeiro-ministro de Portugal, José Sócrates",2010
Argentina,Buenos Aires,25 de maio,Host," - Cumprimentos dos chefes de Estado à presidenta da Argentina, Cristina Kirchner
 - Cerimônia de inauguração da Galeria dos Próceres Latino-Americanos
 - Espetáculo de imagens e sons
 - Desfile histórico-artístico",2010
Cape Verde,"Sal, Malabo, Nairobi, Dar es Salaam, Lusaca, Pretoria and Johannesburg",de 02 a 09 de julho,Host," - [Sal]
 - Partida para a Ilha do Sal
 - Chegada à Ilha do Sal
 - Sessão de abertura da Cúpula Brasil - Comunidade Econômica dos Estados da África Ocidental (Cedeao)
 - Foto oficial
 - Sessão de trabalho
 - Cerimônia de encerramento e adoção da Declaração Conjunta Brasil - Cedeao
 - Declaração à imprensa
 - Almoço dos chefes de Estado e de Governo
 - Encontro com o presidente de Cabo Verde, Pedro Pires
 - Encontro com o primeiro-ministro de Cabo Verde, José Brito
 - Entrevista coletiva
 - [Malabo]
 - Partida para Malabo
 - Chegada a Malabo
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente da Guiné Equatorial, Obiang Nguema Mbasogo
 - Cerimônia de assinatura de atos
 - Almoço em homenagem ao Presidente da República
 - Partida para Nairóbi/Quênia
 - Chegada a Nairóbi
 - [Nairobi]
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente do Quênia, Mwai Kibaki
 - Reunião ampliada com o presidente do Quênia, Mwai Kibaki
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - Sessão de encerramento do Seminário Empresarial Brasil-Quênia
 - Almoço oferecido ao presidente da República, Luiz Inácio Lula da Silva
 - Partida para Dar es Salaam
 - Chegada a Dar es Salaam
 - [Dar es Salaam]
 - Entrevista para documentário sobre o programa Cozinha Brasil-Sesi
 - Cerimônia de abertura do Encontro Empresarial Brasil-Tanzânia
 - Visita à Feira Internacional de Comércio de Dar es Salaam
 - Reunião privada com o presidente da Tanzânia, Jakaya Mrisho Kikwete
 - Reunião ampliada com o presidente da Tanzânia, Jakaya Mrisho Kikwete
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - Almoço  em  homenagem  ao  presidente  da  República,  Luiz  Inácio  Lula  da  Silva, oferecido pelo presidente da Tanzânia, Jakaya  Mrisho Kikwete
 - Partida para Lusaca
 - [Lusaka]
 - Chegada a Lusaca
 - Jantar oferecido pelo presidente da Zâmbia, Rupiah Bwezani Banda
 - Encontro privado com o presidente da Zâmbia, Rupiah Bwezani Banda
 - Encontro ampliado entre as comitivas brasileira e zambiana
 - Cerimônia de assinatura de atos
 - Cerimônia de condecoração
 - Declaração à imprensa
 - Cerimônia de encerramento do Seminário Empresarial  Brasil-Zâmbia
 - Partida para Pretória/África do Sul
 - [Johannesburg]
 - Chegada a Pretória
 - Cerimônia de início da jornada para a Copa do Mundo da Fifa  Brasil 2014
 - [Pretoria]
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente da África do Sul, Jacob Zuma
 - Reunião ampliada com o presidente da África do Sul, Jacob Zuma
 - Cerimônia de assinatura de atos
 - Entrevista coletiva
 - Deslocamento para o Freedom Park, em Johannesburgo
 - [Johannesburg]
 - Visita ao Freedom Park
 - Encerramento do Fórum Empresarial Brasil-África do Sul
 - Visita à Casa Brasil
 - Cerimônia de lançamento da Campanha Internacional Turística para o Brasil 2014
 - Deslocamento para o Presidential Guesthouse, em Pretória
 - [Pretoria]
 - Jantar oferecido pelo presidente da África do Sul, Jacob Zuma",2010
