Country,City/region,Period,Host,Overview,year
Argentina,Buenos Aires,31 de janeiro,Host,"
- Chegada a Casa Rosada
- Reunião privada com a presidenta da Argentina, Cr istina Kirchner
- Encontro com as mães e avós da Praça de Maio
- Reunião ampliada
- Assinatura de atos
- Declaração à imprensa
- Almoço oferecido pela presidenta da Argentina, Cr istina Kirchner",2011
Portugal,Lisbon and Coimbra,"28,  29 e 30 de março",Host,"
- Partida para Lisboa
- Chegada a Lisboa
- Partida para Coimbra
- Chegada a Coimbra
- Visita à Universidade de Coimbra
- Visita ao Museu Nacional Machado de Castro
- Cerimônia de concessão do título de Doutor Honori s Causa ao ex-presidente da
 - República Luiz Inácio Lula da Silva",2011
China,"Pequim, Sanya, Boao e Xian",08 a 15 de abril,Host,"
- Partida para China Janeiro
-  Escala em Atenas / Grécia
-  Viagem para Pequim / China,  de Atenas
-  Chegada a Pequim / China
-  Presidente da Huawei, Ren Zhengfei
- Cerimônia de abertura do Diálogo de Alto Nível Br asil-China em Ciência, Tecnologia e
 - Inovação
- Presidente da Foxconn, Terry Gou
- Cerimônia de encerramento do “Seminário Empresari al Brasil-China: Para Além da
 - Complementaridade""
-  Cerimônia de boas-vindas
- Reunião com o presidente da China, Hu Jintao
- Cerimônia de assinatura de atos
- Banquete oficial oferecido pelo presidente da Chi na, Hu Jintao
- Encontro com o presidente da Assembleia Popular N acional, Wu Bangguo
- Encontro com o primeiro-ministro da República Pop ular da China, Wen Jiabao
- Partida para Sanya/China
- Chegada a Sanya

-  [Sanya]
- Foto Oficial da 3ª Cúpula dos BRICS
- Reunião privada
- Reunião ampliada
- Cerimônia de assinatura de atos e declaração à im prensa
- Almoço oferecido pelo presidente da República Pop ular da China, Hu Jintao
- Encontro com o presidente da Federação Russa, Dmi tri Medvedev
- Encontro com o presidente da República da África do Sul,  Jacob Zuma
-  Encontro com o primeiro-ministro da República da  Índia, Manmohan Singh
-  Encontro com o primeiro-ministro da Ucrânia, Myk ola Azarov


-  [Boao]
- Cerimônia de abertura do Fórum de Boao


-  [Xian]
- Visita ao Centro de Pesquisa e Desenvolvimento da  ZTE
 - Xi'an Xyanyang (China)
- Partida para Brasília
",2011
Uruguay,Montevideo,30 de maio,Host,"
- Visita ao Laboratório Tecnológico do Uruguai (Lat u)
- Audiência com o presidente do Uruguai, José Mujic a
- Assinatura de atos
- Declaração à imprensa
- Almoço oferecido pelo presidente do Uruguai, José  Mujica",2011
Paraguay,Asuncion,28 e 29 de junho,Host,"
- Chegada a Assunção
- Reunião privada com o presidente do Paraguai, Fer nando Lugo
- Reunião ampliada
- Primeira sessão da 41ª Cúpula de Presidentes dos Estados Partes do Mercosul e
 - Estados Associados
- Almoço em homenagem aos chefes de Estado do Merco sul e convidados especiais
- Fotografia oficial",2011
Peru,Lima,28 de julho,Host,"
- Partida para Lima/Peru
- Chegada ao Museu da Inquisição
- Cerimônia de posse do presidente do Peru, Ollanta  Humala
- Almoço oferecido pelo presidente do Peru, Ollanta  Humala
- Partida para Brasília Maio",2011
United States of America,New York,"18, 19, 20, 21 e 22 de setembro",Host,"
- Chegada a Nova York
- Abertura da Reunião de Alto Nível sobre Doenças C rônicas Não-Transmissíveis
- Colóquio de Alto Nível sobre Participação Política de Mulheres
- Reunião com o presidente dos Estados Unidos, Bara ck Obama
- Cerimônia de lançamento da parceria para governo aberto
- Encontro com o presidente do México, Felipe Calde rón
- Jantar por ocasião da entrega à Presidenta da Rep ública do Prêmio por Serviço
 - Público oferecido pelo Instituto Woodrow Wilson
- Audiência concedida ao secretário-geral das Naçõe s Unidas, Ban Ki-moon
- Abertura do Debate Geral da 66ª Assembleia Geral das Nações Unidas
- Encontro bilateral com o presidente do Chile, Seb astián Piñera
- Almoço privado
- Encontro bilateral com o primeiro-ministro do Rei no Unido, David Cameron
- Encontro bilateral com o presidente da França, Ni colas Sarkozy
- Encontro bilateral com o presidente do Peru, Olla nta Humala
- Encontro bilateral com o presidente da Colômbia, Juan Manuel Santos
- Jantar em homenagem à Senhora Presidenta da Repúb lica, oferecido pela
 - Representante Permanente do Brasil junto à ONU, Emb aixadora Maria Luíza Ribeiro
 - Viotti
- Reunião de Alto Nível sobre Segurança Nuclear",2011
Belgium,Brussels,"02, 03 e 04 de outubro",Host,"
- Chegada a Bruxelas / Bélgica
- Encontro com o primeiro-ministro da Bélgica, Yves  Leterme
- Declaração à imprensa
- Jantar oferecido pelo presidente do Conselho Euro peu, Herman Van Rompuy, e pelo presidente da Comissão Europeia, José Manuel Durão Barroso
- V Cúpula Brasil-União Europeia
- Cerimônia de assinatura de atos
- Declaração à imprensa
- Encontro com Sua Majestade o Rei Alberto II
- Almoço em homenagem à Senhora Presidenta da Repúb lica, oferecido por Suas
 - Majestades o Rei Alberto II e a Rainha Paola
- Cerimônia de encerramento do Fórum Empresarial Br asil-União Europeia
- Cerimônia de abertura do festival internacional d e artes Europalia Brasil 2011
- Visita à exposição
- Partida para Sófia / Bulgária",2011
Bulgaria,Sofia,05 de outubro,Host,"
- Cerimônia oficial de chegada
- Fotografia oficial
- Reunião privada com Georgi Parvanov, presidente d a República da Bulgária
- Reunião ampliada
- Cerimônia de assinatura de atos
- Cerimônia de condecoração da Presidenta da Repúbl ica
- Declaração à imprensa
- Reunião privada com Boyko Borissov, primeiro-mini stro da República da Bulgária
- Almoço em homenagem à Presidenta da República ofe recido por Boyko Borissov, primeiro-ministro da República da Bulgária
- Visita de cortesia à Tsetska Tsacheva, presidenta  da Assembleia Nacional da
 - República da Bulgária
- Encerramento do fórum empresarial Brasil-Bulgária
- Jantar de Estado em homenagem à Presidenta da Rep ública oferecido por Georgi
 - Parvanov, presidente da República da Bulgária

-  [Gorna Oryahovitsa]
- Visita ao Forte de Tsarevets
- Almoço oficial em homenagem à Presidenta da Repúb lica oferecido pelo prefeito de
 - Veliko Tsarnovo, Roumen Rashev
- Encontro com a comunidade de Gabrovo
- Visita ao Museu de História Regional
- Partida para Ancara/Turquia
",2011
Turkey,Ankara,07 de outubro,Host,"
- Visita ao Memorial de Atatürk
- Cerimônia de encerramento do Encontro Empresarial  Brasil-Turquia
- Cerimônia oficial de chegada
- Reunião privada com o Presidente da Turquia, Abdu llah Gül
- Almoço oferecido à Presidenta da República pelo P residente da Turquia
- Cerimônia de assinatura de atos
- Declaração à imprensa
- Partida para Istambul",2011
