Country,City/region,Period,Host,Overview,year
Bolivia,La Paz,22 de janeiro,Host," - Cerimônia de posse do presidente eleito da Bolívia, Evo Morales, no Congresso Nacional",2006
Algeria,Algers,07 a 09 de fevereiro,Host," - Partida para  Argel - Argélia
 - Cerimônia de deposição de Oferenda Floral
 - Encontro privado dos Chefes de Estado
 - Reunião de trabalho ampliada
 - Cerimônia de Assinatura de Atos
 - Audiência concedida ao senhor Abdelkader Bensalah, presidente do Conselho da Nação (Senado)
 - Audiência concedida ao senhor Amar Saadani, presidente da Assembléia Popular Nacional
 - Audiência concedida ao senhor Ahmed Ouyahia, chefe do Governo
 - Inauguração da Exposição Amrik, Presença Árabe na América do Sul
 - Cerimônia de Troca de Condecorações
 - Almoço de Estado oferecido pelo presidente Abdelaziz Bouteflika em homenagem ao presidente Luiz Inácio Lula da Silva
 - Cerimônia Oficial de Partida
 - Chegada a Cotonou / Benin
 - Encontro privado com o senhor Mathieu Kerekou, presidente da República do Benin
 - Encontro ampliado com os integrantes das delegações
 - Visita ao Portal do Não Retorno, ao Forte São João Batista de Ajuda e à Casa do Senhor Chacha de Souza
 - Cumprimentos ao senhor Mathieu Kerekou, presidente da República do Benin Secretaria de Imprensa e Porta-Voz
 - Jantar em homenagem ao presidente Luiz Inácio Lula da Silva, oferecido por Mathieu Kerekou, presidente do Benin
 - Partida para Gaborone / Botsuana",2006
Botswana,Gaborone and Johannesburg,11 a 12 de fevereiro,Host," - [Gaborone and Johannesburg]
 - Encontro privado com o presidente da República de Botsuana, Festus Mogae
 - Encontro ampliado
 - Encontro com o secretário-executivo da Comunidade para o Desenvolvimento da África Austral - SADC, Tomaz Salomão
 - Foto com o presidente Festus Mogae e os participantes do Seminário Empresarial Brasil-Botsuana: Oportunidades de Comércio e Investimentos
 - Cerimônia de Assinatura de Atos
 - Banquete de Estado oferecido pelo presidente Festus Mogae, em homenagem ao Presidente da República
 - Leitura do Comunicado Conjunto, e Coletiva de Imprensa do ministro das Relações Exteriores, embaixador Celso Amorim, e do ministro dos Negócios Estrangeiros e da Cooperação Internacional de Botsuana, Mompati Merafhane
 - Cerimônia Oficial de Despedidas
 - [Johannesburg]
 - Chegada do Presidente da República a Johanesburgo/África do Sul
 - Encontro com o primeiro-ministro do Reino Unido, Tony Blair
 - Jantar em homenagem aos chefes de Estado e de Governo participantes da Cúpula da Governança Progressista
 - Sessão Especial da Cúpula da Governança Progressista
 - Foto Oficial
 - Segunda Sessão da Cúpula da Governança Progressista
 - Almoço oficial
 - Conferência de Imprensa",2006
South Africa,Gaborone and Johannesburg,11 a 12 de fevereiro,Host," - [Gaborone and Johannesburg]
 - Encontro privado com o presidente da República de Botsuana, Festus Mogae
 - Encontro ampliado
 - Encontro com o secretário-executivo da Comunidade para o Desenvolvimento da África Austral - SADC, Tomaz Salomão
 - Foto com o presidente Festus Mogae e os participantes do Seminário Empresarial Brasil-Botsuana: Oportunidades de Comércio e Investimentos
 - Cerimônia de Assinatura de Atos
 - Banquete de Estado oferecido pelo presidente Festus Mogae, em homenagem ao Presidente da República
 - Leitura do Comunicado Conjunto, e Coletiva de Imprensa do ministro das Relações Exteriores, embaixador Celso Amorim, e do ministro dos Negócios Estrangeiros e da Cooperação Internacional de Botsuana, Mompati Merafhane
 - Cerimônia Oficial de Despedidas
 - [Johannesburg]
 - Chegada do Presidente da República a Johanesburgo/África do Sul
 - Encontro com o primeiro-ministro do Reino Unido, Tony Blair
 - Jantar em homenagem aos chefes de Estado e de Governo participantes da Cúpula da Governança Progressista
 - Sessão Especial da Cúpula da Governança Progressista
 - Foto Oficial
 - Segunda Sessão da Cúpula da Governança Progressista
 - Almoço oficial
 - Conferência de Imprensa",2006
United Kingdom,London,6 a 9 de março,Host," - Chegada a Londres Secretaria de Imprensa e Porta-Voz
 - Cerimônia Oficial de Boas-Vindas pela rainha Elizabeth II e pelo Duque de Edimburgo
 - Almoço oferecido pela rainha Elizabeth II e pelo Duque de Edimburgo em homenagem ao Presidente da República e à senhora Marisa Letícia Lula da  Silva
 - Exibição das peças brasileiras da Coleção Real
 - Deposição de flores no Monumento ao Soldado Desconhecido e visita ao Túmulo do Almirante Thomas Cochrane
 - Chá oferecido pela senhora Cherie Blair em homenagem à senhora Marisa Letícia Lula da Silva
 - Audiência concedida ao senhor David Cameron, líder da Oposição
 - Audiência concedida ao senhor Manzie Campbell, líder do Partido Democrático Liberal
 - Banquete de Estado oferecido pela rainha Elizabeth II e o Duque de Edimburgo em homenagem ao senhor Presidente da República e à senhora Marisa Letícia Lula da Silva
 - Audiência concedida ao senhor Ken Livingstone, prefeito de Londres
 - Encontro com parlamentares britânicos
 - Visita à mostra “Tropicália”
 - Almoço oferecido pelo Embaixador do Brasil em Londres e senhora Janine Monique Bustani em homenagem ao senhor Presidente da República e à senhora Marisa Letícia Lula da Silva
 - Visita ao Centro Comunitário “The Hub”, parte do programa “New Deal for Communities”
 - Visita ao Centro Comunitário “Grassroots”, parte do programa  “New Deal for Communities”
 - Encerramento do Seminário Empresarial Brasil - Reino Unido
 - Banquete oferecido pelo senhor Alderman David Brewer, Lord Mayor, prefeito da Corporação de Londres, e senhora em homenagem ao senhor Presidente da República e à senhora Marisa Letícia Lula da Silva
 - Café da manhã com diretores-executivos de empresas e chefes-executivos de instituições financeiras
 - Cerimônia Oficial de Despedidas da rainha Elizabeth II e do Duque de Edimburgo
 - Audiência concedida ao senhor Gordon Brown, chanceler do Erário
 - Visita da senhora Marisa Letícia Lula da Silva à Galeria Tate Modern
 - Encontro privado com o senhor Tony Blair, primeiro-ministro do Reino Unido
 - Encontro Ampliado com os integrantes das comitivas britânica e brasileira
 - Declaração à imprensa
 - Almoço oferecido pelo senhor Tony Blair, primeiro-ministro do Reino Unido, em homenagem ao Presidente da República Secretaria de Imprensa e Porta-Voz",2006
Chile,Valparaíso and Viña Del Mar,11 de março,Host," - Cerimônia de posse da presidente da República do Chile, Michelle Bachelet Viña del Mar:
 - Almoço oferecido pela Presidente da República do Chile aos Chefes de Estado e de Governo e seus respectivos cônjuges
 - Foto Oficial
 - Reunião do presidente Luiz Inácio Lula da Silva com a presidente do Chile, Michelle Bachelet
 - Reunião do presidente Luiz Inácio Lula da Silva com a primeira-ministra da Nova Zelândia, Helen Clark
 - Reunião do presidente Luiz Inácio Lula da Silva com o primeiro-ministro de Marrocos, Driss Jetou",2006
Argentina,Puerto Iguazú,04 de maio,Host," - Reunião Quadripartite - Brasil/Argentina/Bolívia/Venezuela
 - Almoço oferecido pelo senhor Néstor Kirchner, presidente da Nação Argentina",2006
Austria,Viena,11 a 14 de maio,Host," - Chegada a Viena / Áustria
 - Café da manhã com a chanceler da República Federal da Alemanha, Ângela Merkel
 - Abertura da sessão plenária da IV Cimeira União Européia, América Latina e Caribe
 - Foto Oficial
 - I Sessão de Trabalho
 - Encontro com o primeiro-ministro do Reino Unido, Tony Blair
 - Almoço de trabalho dos chefes de Estado e de Governo
 - II Sessão de Trabalho
 - Encontro com o presidente da Espanha, Jorge Luís Rodriguez Zapatero
 - Sessão de encerramento da sessão plenária da IV Cimeira União Européia, América Latina e Caribe
 - Encontro com a presidente da República do Chile, Michelle Bachelet Secretaria de Imprensa e Porta-Voz
 - Jantar oferecido aos chefes de Estado e de Governo e aos ministros de Estado das Relações Exteriores pelo presidente da República da Áustria, Heinz Fischer
 - Encontro com o presidente da República do Peru, Alejandro Toledo
 - Almoço na residencia da Embaixada
 - Reunião de Trabalho
 - Declaração à Imprensa
 - Jantar oferecido ao Presidente da República pelo presidente da Áustria, Heinz Fischer",2006
Venezuela,Caracas,04 de julho,Host," - Fotografia Oficial dos Presidentes dos Países-Membros do Mercosul
 - Cerimônia de Assinatura do Protocolo de Adesão da Venezuela como Membro-Pleno do Mercosul, com a presença dos Presidentes do Brasil, da Venezuela, da Argentina, do Paraguai do Uruguai e da Bolívia",2006
Russia,Saint Petersburg,"15, 16 e 17 de julho",Host," - Chegada a São Petersburgo / Rússia
 - Visita guiada ao Museu Hermitage
 - Visita à Estátua de Pedro, O Grande
 - Visita à Catedral de Santo Isaac
 - Almoço privado
 - Presidente da República da África do Sul, Thabo Mbeki
 - Primeiro-Ministro da República da Índia, Manmohan Singh
 - Reunião com líderes dos países em desenvolvimento na Cúpula do G-8 Brasil, África do Sul, China, Congo, Índia e México
 - Presidente do México, Vicente Fox
 - Encontro bilateral com o presidente dos Estados Unidos, George W. Bush
 - Reunião de Trabalho com líderes do G-8, líderes de  países convidados e chefes de organizações internacionais
 - Almoço de Trabalho com líderes do G-8, líderes de países convidados e chefes de organizações internacionais
 - Fotografia Oficial Secretaria de Imprensa e Porta-Voz",2006
