Country,City/region,Period,Host,Overview,year
Guatemala,Guatemala City,14 de Janeiro,Host," - Cerimônia de posse do presidente eleito da Guatemala, Álvaro Colom Caballeros, e do vice-presidente eleito, Rafael Espada, no Centro Cultural Miguel Angel Asturias",2008
Cuba,Havana,14 e 15 de Janeiro,Host," - Jantar oferecido pelo primeiro vice-presidente de Cuba, Raúl Castro
 - Café da manhã com o presidente da Assembléia Nacional do Poder Popular, Ricardo Alarcón
 - Cerimônia de Oferenda Floral
 - Cerimônia Oficial de Chegada
 - Reunião privada com o primeiro vice-presidente de Cuba, Raúl Castro
 - Cerimônia de assinatura de atos
 - Almoço privado
 - Visita ao Centro de Engenharia Genética e Biotecnologia
 - Visita à Escola Latino-Americana de Medicina (ELAM)",2008
France,Oyapock,11 e 12 de Fevereiro,Host," - Partida para Macapá/AP (pernoite)
 - Partida de Macapá para Oiapoque
 - Deslocamento para o cais de Saint Georges de l’Oyapock
 - Revista de tropas
 - Reunião com o presidente da República Francesa, Nicolas Sarkozy
 - Apresentação de Comunicado Conjunto à imprensa
 - Almoço oferecido pelo presidente da República Francesa, Nicolas Sarkozy
 - Encontro com lideranças locais",2008
Chile,Punta Arenas,15 a 17 de Fevereiro,Host," - 15 fevereiro - Punta Arenas (Chile)
 - Apresentação do Programa Antártico Brasileiro pelo Secretário da Comissão Interministerial para os Recursos do Mar, Contra-Almirante Dilermando Ribeiro Lima
 - Jantar em homenagem ao presidente Luiz Inácio Lula da Silva, oferecido pelo Comando da Marinha
 - 16 de fevereiro - A programação foi transferida para o domingo (17), em função das condições climáticas locais
 - 17 fevereiro - Estação Antártica Comandante Ferraz
 - Partida de Punta Arenas para a Base Aérea Presidente Eduardo Frei, Chile
 - Visita ao Navio Oceanográfico Ary Rongel
 - Chegada à Estação Antártica Comandante Ferraz
 - Cerimônia de Comemoração do 25°Aniversário da Primeira Expedição Brasileira à Antártica
 - Almoço
 - Visita às instalações da Estação Antártica Comandante Ferraz
 - Visita às instalações da Base Aérea Eduardo Frei",2008
Argentina,Buenos Aires,21 a 23 de Fevereiro,Host," - Partida para Buenos Aires (Argentina)
 - Cumprimentos dos funcionários da Embaixada e do Consulado em Buenos Aires
 - Reunião de trabalho privada com a presidente da Argentina, Cristina Fernández de Kirchner
 - Cerimônia de declaração conjunta seguida de declaração à imprensa
 - Almoço oferecido pela presidente da Argentina, Cristina Fernández de Kirchner, em homenagem ao Presidente da República
 - Visita à Corte Suprema
 - Sessão Solene no Congresso da Nação
 - Cerimônia de declaração de visitante ilustre da cidade de Buenos  Aires pelo Chefe do Governo da cidade de Buenos Aires
 - Entrevista ao jornalista Joaquín Morales Solá para o programa Desde el Llano do canal de televisão a cabo TN
 - Reunião trilateral com os presidentes da Argentina, Cristina Kirchner, e da Bolívia, Evo Morales",2008
Holland,The Hague and Amsterdam,"08, 09, 10 e 11 de Abril",Host," - Partida para Rotterdam (Holanda) Rotterdam
 - Chegada ao Aeroporto Internacional de Rotterdam
 - Deslocamento para o Palácio Noordeinde Haia
 - Chegada ao Palácio Noordeinde Haia
 - Cerimônia oficial de chegada
 - Apresentação às autoridades locais
 - Encontro com os Presidentes do Senado e da Câmara
 - Encontro privado com o primeiro-ministro da Holanda, Jan Peter Balkenende
 - Declaração à imprensa
 - Almoço privado com a rainha Beatrix, da Holanda Amsterdã
 - Cerimônia de oferenda floral no Monumento Nacional
 - Encontro com lideranças empresariais
 - Deslocamento para o Palácio de Noordeinde Haia
 - Fotografia oficial
 - Banquete de Estado em homenagem ao Presidente da República e à senhora Marisa Letícia, oferecido pela rainha Beatrix Haia
 - Café da manhã com representantes da sociedade civil
 - Chegada ao Binnenhof e cumprimentos ao Primeiro-Ministro
 - Almoço oferecido pelo Primeiro-Ministro
 - Discussão sobre temas de interesse global
 - Cerimônia de assinatura de atos
 - Cerimônia de encerramento do Seminário Empresarial “Brasil-Países Baixos, Oportunidades de Negócios”
 - Cerimônia de Despedida
 - Evento cultural brasileiro
 - Cerimônia Oficial de Despedida, com a presença da rainha Beatrix",2008
Czech Republic,Prague,11 e 12 de Abril,Host," - Chegada a Praga (República Tcheca)
 - Cerimônia oficial de chegada ao Castelo de Praga
 - Apresentação das comitivas
 - Assinatura do Livro de Honra
 - Encontro com o presidente da República Tcheca, Václav Klaus
 - Reunião ampliada com a participação das comitivas presidenciais
 - Assinatura de atos e declaração à imprensa
 - Almoço oferecido pelo presidente Václav Klaus
 - Visita ao Palácio Episcopal na Praça do Castelo
 - Visita ao Mosteiro de Strahov
 - Visita à Igreja de Nossa Senhora da Vitória
 - Travessia da Ponte Carlos a pé
 - Recepção oferecida pelo presidente Luiz Inácio Lula da Silva ao presidente Václav Klaus",2008
Ghana,Accra,18 a 21 de Abril,Host," - Partida de Porto Alegre para Acra (Gana)
 - Chegada a Acra (Gana)
 - Encontro com o presidente da República de Gana, John Agyekum Kufour
 - Cerimônia de assinatura de atos
 - Chegada à Casa de Hóspedes
 - Visita à ""Brazil House""
 - Cerimônia de descerramento de placa alusiva à visita às instalações do escritório regional da Embrapa na África
 - Almoço em homenagem ao Presidente da República, oferecido pelo presidente da República de Gana, John Agyekum Kufuor
 - Cerimônia de abertura da XII Reunião da Conferência das Nações Unidas sobre Comércio
 - e Desenvolvimento - Unctad
 - Encontro bilateral com a presidente da Finlândia, Tarja Halonen
 - Encontro com o secretário-geral das Nações Unidas, Ban Ki-moon
 - Painel de Alto Nível da XII Reunião da Conferência das Nações Unidas sobre Comércio e Desenvolvimento - Unctad
 - Encontro com o secretário-geral das Nações Unidas, Ban Ki-moon
 - Encontro com o diretor-geral da Organização Mundial do Comércio (OMC), Pascal Lamy",2008
Peru,Lima,15 a 17 de Maio,Host," - Chegada a Lima (Peru)
 - Sessão Plenária de Abertura da V Cúpula de Chefes de Estado e de Governo da Latina e Caribe-União Européia União Européia
 - Foto oficial dos chefes de Estado e de Governo da V Cúpula da América Latina e Caribe -
 - Primeira sessão de trabalho dos chefes de Estado e de Governo da V Cúpula da América Latina e Caribe-União Européia
 - Encontro bilateral com o primeiro-ministro da Polônia, Donald Tusk
 - Encontro bilateral com o presidente do Paraguai, Nicanor Duarte, e com o presidente eleito do Paraguai, Fernando Lugo
 - Encontro bilateral com o primeiro-ministro da Jamaica, Bruce Golding
 - Encontro bilateral com o chanceler da Itália, Franco Frattini
 - Almoço oferecido pelo presidente da República do Peru, Alan García, em homenagem aos chefes de Estado e de Governo da V Cúpula da América Latina e Caribe-União Européia
 - Encontro bilateral com o primeiro-ministro da República Tcheca, Mirek Topolanek
 - Encontro bilateral com o presidente da Bulgária, Georgi Parvanov
 - Encontro com o presidente da Comissão Européia, José Manuel Durão Barroso
 - Encontro com o presidente de Honduras, José Manuel  Zelaya Rosales
 - Sessão Plenária de Encerramento da V Cúpula de Chefes de Estado e de Governo da América Latina e Caribe-União Européia
 - Encontro com o presidente da Bolívia, Evo Morales
 - Jantar oferecido pelo presidente da República do Peru, Alan García, em homenagem aos chefes de Estado e de Governo da V Cúpula da América Latina e Caribe-União Européia
 - Abertura do Seminário Empresarial Brasil-Peru
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente Alan García
 - Reunião ampliada
 - Cerimônia de Assinatura de Atos e Declaração à Imprensa
 - Almoço em homenagem ao presidente Luiz Inácio Lula da Silva, oferecido pelo presidente Alan García",2008
Haiti,Port-au-Prince and San Salvador,28 de Maio,Host," - [Port-au-Prince]
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente do Haiti, René Préval
 - Reunião ampliada
 - Foto oficial, assinatura de atos e declaração à imprensa
 - Almoço em homenagem ao Presidente da República, oferecido pelo presidente do Haiti, René Préval
 - Formatura do Batalhão Brasileiro da Minustah
 - [San Salvador]
 - Jantar oferecido pelo presidente de El Salvador, Elias Antonio Saca, aos chefes de Estado de países membros do Sistema de Integração Centro-Americana (Sica)
 - [San Salvador]
 - Audiência com integrantes da Diretoria da Associação de Profissionais Salvadorenhos
 - Cerimônia de abertura de encontro empresarial, com a presença do presidente de El
 - Reunião com os Presidentes dos países membros do Sistema de Integração Centro- Graduados no Brasil (Aprobras) Salvador, Elias Antonio Saca Americana (Sica)
 - Almoço privado
 - Reunião privada com o presidente de El Salvador, Elias Antonio Saca
 - Reunião ampliada
 - Cerimônia de assinatura de atos",2008
El Salvador,Port-au-Prince and San Salvador,28 de Maio,Host," - [Port-au-Prince]
 - Cerimônia oficial de chegada
 - Encontro privado com o presidente do Haiti, René Préval
 - Reunião ampliada
 - Foto oficial, assinatura de atos e declaração à imprensa
 - Almoço em homenagem ao Presidente da República, oferecido pelo presidente do Haiti, René Préval
 - Formatura do Batalhão Brasileiro da Minustah
 - [San Salvador]
 - Jantar oferecido pelo presidente de El Salvador, Elias Antonio Saca, aos chefes de Estado de países membros do Sistema de Integração Centro-Americana (Sica)
 - [San Salvador]
 - Audiência com integrantes da Diretoria da Associação de Profissionais Salvadorenhos
 - Cerimônia de abertura de encontro empresarial, com a presença do presidente de El
 - Reunião com os Presidentes dos países membros do Sistema de Integração Centro- Graduados no Brasil (Aprobras) Salvador, Elias Antonio Saca Americana (Sica)
 - Almoço privado
 - Reunião privada com o presidente de El Salvador, Elias Antonio Saca
 - Reunião ampliada
 - Cerimônia de assinatura de atos",2008
Italy,Rome,01 a 03  de Junho,Host," - Partida para Roma (Itália)
 - Encontro com a presidente da Argentina, Cristina Fernández de Kirchner
 - Encontro com o secretário-geral das Nações Unidas, Ban Ki-moon
 - Cerimônia de Abertura da Conferência de Alto Nível sobre Segurança Alimentar, Mudanças Climáticas e Bioenergia
 - Primeira Sessão da Conferência de Alto Nível sobre Segurança Alimentar, Mudanças
 - Chegada a Roma
 - Agenda privada
 - Itália (Roma) - continuação
 - Agenda privada Climáticas e Bioenergia",2008
Venezuela,Caracas,27 de Junho,Host," - Cerimônia de boas-vindas
 - Reunião privada
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - Almoço em homenagem ao Presidente da República oferecido pelo presidente da República Bolivariana da Venezuela, Hugo Chávez",2008
Argentina,San Miguel de Tucumán,30 de Junho e 1º de Julho,Host," - Partida para San Miguel de Tucumán (Argentina)
 - Foto Oficial
 - Jantar oferecido pela presidente da Argentina, Cristina Kirchner, aos chefes de Estado e ministros do Mercosul, estados associados e convidados especiais
 - Encontro com a presidente da Argentina, Cristina Fernández de Kirchner
 - Reunião de Cúpula dos Chefes de Estado do Mercosul e Estados Associados
 - Reunião de Chefes de Estado dos Países da União de Nações Sul-Americanas (Unasul)",2008
Japan,Sapporo,6 a 9 de Julho,Host," - Partida para Sapporo (Japão)
 - Chegada a Las Palmas/Espanha (escala técnica)
 - Partida para Yekaterinburg (Rússia)
 - Chegada a Yekaterinburg (Rússia) - escala técnica
 - Partida para Sapporo (Japão)
 - Encontro bilateral com o presidente do México, Felipe Calderón
 - Encontro bilateral com o presidente da China, Hu Jintao
 - Encontro bilateral com o presidente da Coréia do Sul, Lee Myung-bak
 - Reunião dos chefes de Estado e de Governo do G-
 - Declaração à Imprensa
 - Audiência com metalúrgicos brasileiros residentes no Japão
 - Sessão de trabalho matutina entre os chefes de Estado e de Governo do  G-8 e o G-
 - Encontro bilateral com o presidente dos Estados Unidos, George W. Bush
 - Cerimônia de cumprimentos do primeiro-ministro do Japão, Yasuo Fukuda
 - Reunião dos líderes das grandes economias sobre mudança do clima
 - Fotografia oficial dos chefes de Estado e de Governo do G-8 e do G-
 - Almoço de trabalho entre os chefes de Estado e de Governo do G-8 e do G-5, com a participação dos Presidentes da Indonésia, da Coréia do Sul e do Primeiro-Ministro da Austrália
 - Reunião dos chefes de Estado e de Governo dos BRICs
 - Encontro bilateral com o primeiro-ministro da Itália, Silvio Berlusconi
 - Encontro bilateral com o primeiro-ministro do Canadá, Stephen Harper
 - Reunião bilateral com o primeiro-ministro do Japão, Yasuo Fukuda
 - Encontro bilateral com o primeiro-ministro da Austrália, Kevin Rudd
 - Partida para Hanói, Vietnã",2008
Vietnam,Hanoi,10 de Julho,Host," - Cerimônia de Oferenda Floral no Monumento Nacional aos Heróis e Mártires
 - Cerimônia de Oferenda Floral no Mausoléu de Ho Chi Minh
 - Cerimônia oficial de chegada
 - Foto oficial
 - Reunião com o presidente do Vietnã Nguyen Minh Triet
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - Cerimônia de encerramento do seminário empresarial Brasil-Vietnã: Construindo Novas Parcerias
 - Reunião com o presidente da Assembléia Nacional do Vietnã Nguyen Phu Trong
 - Reunião com o primeiro-ministro do Vietnã Nguyen Tan Dung
 - Reunião com o secretário-geral do Partido Comunista do Vietnã, Nong Duch Manh
 - Banquete oferecido pelo presidente da República Socialista do Vietnã em homenagem ao Presidente da República
 - Partida para Díli (Timor-Leste)",2008
Timor-Leste,Dili,11 de Julho,Host," - Encontro com o presidente da República do Timor-Leste, José Ramos-Horta
 - Reunião ampliada, com a presença do primeiro-ministro, Kay Rala Xanana Gusmão Assinatura de atos
 - Visita ao Parlamento Nacional e Sessão Plenária
 - Visita ao Tribunal de Recursos
 - Almoço oferecido pelo Presidente do Timor-Leste
 - Visita ao Centro de Treinamento Profissional do Senai, em Becora
 - Encontro com a comunidade brasileira do Timor-Leste
 - Encontro com o representante do Secretário-Geral das Nações Unidas no Timor-Leste,
 - Declaração conjunta à imprensa do Presidente da República e do Presidente da República Atul Khare do Timor-Leste
 - Partida para Jacarta (Indonésia)",2008
Indonesia,Jakarta,12 de Julho,Host," - Cerimônia de oferenda floral
 - Cerimônia oficial de chegada
 - Reunião privada com o presidente da Indonésia, Susilo Bambang Yudhoyono
 - Reunião ampliada
 - Assinatura de atos e conferência de imprensa
 - Almoço oferecido pelo Presidente da Indonésia
 - Cerimônia de encerramento do Encontro Empresarial Brasil-Indonésia
 - Visita de cortesia ao Presidente da Assembléia Consultiva do Povo
 - Visita de cortesia ao Presidente da Câmara dos Representantes do Povo
 - Partida para as Ilhas Seichelles
 - Partida para Luanda (Angola)",2008
Bolivia,Riberalta,18 de Julho,Host," - Partida para Riberalta (Bolívia)
 - Cerimônia de assinatura de acordo",2008
Colombia,Bogota,19 de Julho,Host," - Encontro com o presidente da Colômbia, Álvaro Uribe Vélez
 - Cerimônia de abertura do Encontro Empresarial Brasil-Colômbia
 - Cerimônia oficial de chegada
 - Passeio pela residência presidencial de Hatogrande
 - Encontro com o presidente da Colômbia, Álvaro Uribe Vélez
 - Reunião ampliada
 - Almoço oferecido pelo presidente da Colômbia
 - Cerimônia de assinatura de atos e declaração à imprensa
 - Recepção oferecida pelo presidente da República do Brasil ao presidente da Colômbia
 - [Leticia]
 - Celebração da data nacional da Colômbia com a presença do presidente da República do
 - Reunião com os presidentes da Colômbia, Álvaro Uribe Vélez, e do Peru, Alan García Peru, Alan García Pérez Pérez
 - Cerimônia de assinatura de atos e declaração tripartite Brasil-Colômbia-Peru
 - Abertura da Marcha pela Libertação dos Seqüestrados",2008
Portugal,Lisbon,24 a 26 de Julho,Host," - Partida para Lisboa (Portugal)
 - Chegada à Base Aérea do Figo Maduro - Lisboa
 - Chegada ao Hotel Ritz
 - Sessão de abertura da VII Conferência de Chefes de Estado e de Governo da
 - Comunidade dos Países de Língua Portuguesa - CPLP
 - Foto Oficial
 - Sessão privada da VII Conferência de Chefes de Estado e de  Governo da CPLP
 - Almoço em homenagem aos chefes de Estado e de Governo oferecido pelo primeiro-ministro de Portugal, José Sócrates
 - Sessão operativa
 - Debate temático sobre Língua Portuguesa
 - Sessão de encerramento da VII Conferência de Chefes de Estado e de Governo da CPLP
 - Reunião com diretor-geral da FAO, Jacques Diouf
 - Cerimônia de entrega do Prêmio Luiz de Camões 2007 ao escritor António Lobo Antunes
 - Cerimônia de acordo de investimentos da Empresa Brasileira de Aeronáutica (Embraer)
 - Entrevista concedida à Rede de Televisão Portuguesa - RTP em Portugal",2008
Argentina,Buenos Aires,03 e 04 de Agosto,Host," - Jantar com a presidente da Argentina, Cristina Fernández de Kirchner
 - Café da manhã com empresários brasileiros
 - Cerimônia de abertura do Encontro Empresarial Brasil-Argentina, com a presença da presidente da Argentina, Cristina Fernández de  Kirchner
 - Encontro com a Presidente da Argentina
 - Almoço oferecido pela Presidente da Argentina
 - Cerimônia de inauguração do Espaço Cultural Brasil-Argentina, com exposição de fotografias de Sebastião Salgado",2008
China,Beijing,05 a 09 de Agosto,Host," - Partida para Pequim (China)
 - Chegada ao Aeroporto de Pequim
 - Chegada ao Hotel Legendale
 - Encontro com o presidente da Assembléia Popular Nacional da China, Wu Bangguo
 - Encontro com o presidente da República Popular da China, Hu Jintao
 - Almoço com atletas da delegação brasileira dos Jogos Olímpicos de Pequim
 - Visita à Vila Olímpica
 - Coquetel de abertura da Casa Brasil
 - Jantar em homenagem ao Presidente da República oferecido pelo embaixador do Brasil em Pequim, Luiz Augusto Castro Neves
 - Encontro com a imprensa internacional especializada
 - Encontro com o presidente de Israel, Shimon Peres
 - Almoço em homenagem aos chefes de Estado e de Governo, oferecido pelo presidente da República Popular da China, Hu Jintao
 - Encontro com o presidente do Comitê Olímpico Internacional, Jacques Rogge
 - Coquetel de recepção aos chefes de Estado
 - Cerimônia de abertura da XXIX Olimpíada
 - Chegada ao Aeroporto de Pequim
 - Partida para São Paulo
 - Chegada ao Aeroporto de Congonhas (São Paulo)",2008
Paraguay,Asuncion,14 e 15 de Agosto,Host," - Partida para Assunção (Paraguai)
 - Chegada ao Aeroporto Silvio Petirossi
 - Chegada ao Hotel Sheraton
 - Cerimônia de Juramento do presidente do Paraguai, Fernando Lugo
 - Cerimônia de Juramento do Gabinete de Ministros
 - Te Deum por novo período constitucional e em comemoração ao 471º aniversário de Assunção
 - Cerimônia de cumprimentos dos Mandatários ao Presidente do Paraguai",2008
Chile,Santiago,15 de Setembro,Host, - Reunião da Unasul,2008
United States of America,New York,21 a 24 de Setembro,Host," - Partida para Nova Iorque (EUA)
 - Lançamento da campanha “Brasil Sensacional”
 - Evento de alto nível da ONU sobre o desenvolvimento da África
 - Cerimônia de entrega do “IPS International Award 2007”
 - Encontro reservado com lideranças empresariais nos Estados Unidos
 - Jantar em homenagem ao presidente da República para entrega da condecoração com a insígnia de ouro da “America’s Society” (Sociedade das Américas) e do “Council of the Americas” (Conselho das Américas)
 - Abertura do debate geral da 63ª Assembléia Geral das Nações Unidas
 - Encontro com o primeiro-ministro da China,  Wen Jiabao
 - Encontro com o presidente da Namíbia, Hifikepunye Pohamba
 - Encontro com o presidente de Cote d'Ivoire, Laurent Gbagbo
 - Encontro com o primeiro-ministro dos Países Baixos, Jan Peter Balkenende
 - Jantar privado
 - Encontro com o presidente da Namíbia, Hifikepunye Pohamba
 - Encontro com o presidente do Líbano. Michel Suleiman
 - Encontro com o presidente da Tanzânia, Jakata Kikwete
 - Reunião informal de trabalho dos chefes de Estado da Unasul
 - Almoço com chefes de Estado da CPLP, oferecido pelo presidente de Portugal, Aníbal Cavaco Silva
 - Declaração sobre mecanismos financeiros inovadores
 - Encontro com o presidente da Dinamarca, Anders Fogh Rasmussen
 - Reunião sobre Crise Financeira Mundial",2008
Spain,Madrid and Toledo,12 e 13 de Outubro,Host," - Partida para Madri (Espanha)
 - Gravação para televisão de entrevista ao diretor-geral do jornal El País, Juan Luís Cebrián, sobre cooperação ibero-americana com a participação do escritor mexicano Carlos Fuentes
 - Cumprimentos de funcionários da Embaixada, Consulado-Geral em  Madri e do Consulado em Barcelona
 - Jantar oferecido pelo Rei da Espanha, Juan Carlos, com a presença do presidente da Espanha, José Luiz Rodríguez Zapatero Toledo
 - Almoço oferecido pelo presidente da Junta de Castilla-La Mancha, José Maria Barreda
 - Encontro com o presidente da Espanha, José Luiz Rodríguez Zapatero
 - Cerimônia de entrega do I Prêmio Internacional ""Don Quijote de La Mancha""",2008
