Country,City/region,Period,Host,Overview,year
Ecuador,Quito,26 e 27 de janeiro,Host," - Cerimônia oficial de chegada
 - Encontro com o senhor Rafael Correa, Presidente da República do Equador
 - Reunião ampliada
 - Declaração à imprensa
 - Jantar oferecido pelo senhor Rafael Correa, presidente da República do Equador, em homenagem à Presidenta da República
 - Sessão de abertura da IV Cúpula de Chefes de Estado e de Governo da Comunidade de
 - Estados Latino-Americanos e Caribenhos - CELAC
 - Fotografia Oficial
 - Retiro dos Chefes de Estado e de Governo
 - Almoço oferecido pelo presidente do Equador, Rafael Correa, em homenagem aos Chefes de Estado e de Governo da Celac
 - Partida para Brasília",2016
Chile,Santiago,26 e 27 de fevereiro,Host," - Oferenda floral
 - Cerimônia Oficial de Chegada
 - Coquetel
 - Almoço oferecido pela Presidenta do Chile, Michelle Bachelet, em homenagem à Presidenta da República
 - Reunião Privada
 - Declaração à Imprensa
 - Encontro com Representantes de Empresas Brasileiras
 - Henrique Cueto, CEO da LATAM
 - Gonzalo García Balmaceda, Secretário-Geral das Empresas CMPC
 - Visita à Comissão Econômica para a América Latina e o Caribe-CEPAL
 - Encontro com Economistas da CEPAL",2016
United States of America,New York,21 e 23 de abril,Host," - Chegada a Nova Iorque
 - Sessão de Abertura da Cerimônia de Assinatura do Acordo de Paris
 - Cerimônia de Assinatura do Acordo de Paris
 - Partida de Nova Iorque",2016
