Country,City/region,Period,Host,Overview,year
Bolivia,Arroyo Concepción,15 de janeiro,Host,"
-  Cerimônia oficial de chegada a Arroyo Concepción (Bolívia)
-  Cerimônia de entrega dos trechos Arroyo Concepción - El Carmen e El Carmen -
 - Roboré do Corredor Bioceânico
-   Chegada a Maracaibo (Venezuela)",2009
Venezuela,Maracaibo,16 de janeiro,Host,"
-  Visita ao Projeto Agrícola Comunal ""El Diluvio""
-  Reunião privada com o Presidente da Venezuela, Hugo Chávez
-  Reunião ampliada com o Presidente da Venezuela, Hugo Chávez  e comitivas
-  Assinatura de atos
-  Almoço oferecido pelo Presidente da Venezuela, Hugo Chávez",2009
United States of America,Washington and New York,"13, 14, 15 e 16 de março",Host,"

-  [Washington]
-   Chegada a Washington (EUA)


-  [Washington]
-  John Sweeney, presidente da Federação Americana de Trabalho - Congresso das
 - Organizações Industriais (AFL-CIO)
-   Barack Obama, presidente dos Estados Unidos: encontro ampliado
-  Barack Obama, presidente dos Estados Unidos: encontro privado
-   Declaração conjunta à imprensa
-  Almoço oferecido pelo embaixador do Brasil nos Estados Unidos


-  [New York]
-  Chegada a Nova Iorque/EUA
-   Chegada ao The Plaza Hotel


-  [New York]
-   Café da manhã com integrantes da direção editorial do Wall Street Journal
-   Abertura do Seminário “Brasil: Parceiro Global em uma Nova Economia; Estratégias
 - Sólidas para Momentos Desafiadores”
-   Entrevista ao programa “Fareed Zakaria GPS”, da rede CNN
",2009
Chile,Viña del Mar,27 e 28 de março,Host,"
-  Jantar oferecido pela Presidente do Chile, Michelle Bachelet
-   Encontro com a Presidente do Chile, Michelle Bachelet
-  Encontro com o Primeiro-Ministro da Noruega, Jens Stoltenberg
-   Primeira sessão da Cúpula de Líderes Progressistas
-   Segunda sessão da Cúpula de Líderes Progressistas
-   Fotografia oficial
-   Conferência de imprensa
-   Almoço privado oferecido pela Presidente do Chile, Michelle Bachelet
-   Partida para São Paulo (SP)",2009
Qatar,Doha,29 a 31 de março,Host,"
-  Partida para Doha (Catar)
-   Chegada a Doha (Catar)
-  Cerimônia de cumprimentos e banquete oferecido pelo Emir do Catar, Xeique Hamad
 - Bin Khalifa Al-Thani, aos chefes de Estado e de Governo
-  Foto oficial
-  Sessão de abertura da II Cúpula América do Sul – Países Árabes (Aspa)
-   Sessão de trabalho da II Cúpula América do Sul – Países Árabes (Aspa)
-  Sessão de encerramento da II Cúpula América do Sul – Países Árabes (Aspa)
-  Partida para Paris (França)",2009
France,Paris and London,01 de abril,Host,"

-  [Paris]
-  Partida para o Palais de L’Elysée
-   Almoço de trabalho oferecido pelo Presidente da França, Nicolas Sarkozy
-   Conferência de imprensa
-   Partida, em trem de alta velocidade, para Londres (Inglaterra)


-  [London]
-   Recepção oferecida por Sua Majestade, rainha Elizabeth II
-    Partida para a residência do primeiro-ministro do Reino Unido, Gordon Brown
-   Jantar oferecido pelo primeiro-ministro do Reino Unido, Gordon Brown


-  [London]
-  Café-da-manhã dos chefes de Estado e de Governo do G-20 Financeiro
-  Foto oficial dos chefes de Estado e de Governo do G-20 Financeiro
-   Primeira sessão de trabalho dos chefes de Estado e de Governo  do G-20 Financeiro
-   Almoço dos chefes de Estado e de Governo do G-20 Financeiro
-   Segunda sessão de trabalho dos chefes de Estado e de Governo do G-20 Financeiro
-   Encontro com o Presidente da China, Hu Jintao
-  Entrevista para o programa Newsnight do canal BBC 2
-   Jantar privado
-  Visita ao canteiro de obras do Parque Olímpico - Londres 2012
-  Entrevista coletiva à imprensa
",2009
United Kingdom,Paris and London,01 de abril,Host,"

-  [Paris]
-  Partida para o Palais de L’Elysée
-   Almoço de trabalho oferecido pelo Presidente da França, Nicolas Sarkozy
-   Conferência de imprensa
-   Partida, em trem de alta velocidade, para Londres (Inglaterra)


-  [London]
-   Recepção oferecida por Sua Majestade, rainha Elizabeth II
-    Partida para a residência do primeiro-ministro do Reino Unido, Gordon Brown
-   Jantar oferecido pelo primeiro-ministro do Reino Unido, Gordon Brown


-  [London]
-  Café-da-manhã dos chefes de Estado e de Governo do G-20 Financeiro
-  Foto oficial dos chefes de Estado e de Governo do G-20 Financeiro
-   Primeira sessão de trabalho dos chefes de Estado e de Governo  do G-20 Financeiro
-   Almoço dos chefes de Estado e de Governo do G-20 Financeiro
-   Segunda sessão de trabalho dos chefes de Estado e de Governo do G-20 Financeiro
-   Encontro com o Presidente da China, Hu Jintao
-  Entrevista para o programa Newsnight do canal BBC 2
-   Jantar privado
-  Visita ao canteiro de obras do Parque Olímpico - Londres 2012
-  Entrevista coletiva à imprensa
",2009
Trinidad and Tobago,Port of Spain,17 a 19 de abril,Host,"
-  Cerimônia de abertura da V Cúpula das Américas
-  Apresentação cultural
-  Recepção oferecida pelo Primeiro-Ministro de Trinidad e Tobago, Patrick Manning
-  Encontro de chefes de Estado da União de Nações Sul-Americanas (Unasul), com a participação do Presidente dos Estados Unidos, Barack Obama
-  Primeira Sessão Plenária
 - Reunião privada dos chefes de Estado e de Governo
 - Fotografia oficial
-   Fotografia oficial
-  Almoço de trabalho
-  Segunda Sessão Plenária
-  Terceira Sessão Plenária
-  Jantar oficial, seguido de apresentação cultural",2009
Argentina,Buenos Aires,22 e 23 de abril,Host,"
-  Partida para Buenos Aires (Argentina)
-  Chegada a Buenos Aires (Argentina)
-  Encontro privado dos Presidentes do Brasil e da Argentina
-  Reunião ampliada
-  Assinatura da Declaração Conjunta
-   Declaração à imprensa
-  Almoço oferecido pela Presidente da Argentina, Cristina Kirchner",2009
Saudi Arabia,Riyadh,16 e 17 de maio,Host,"
-   Audiência ao Secretário-Geral do Conselho de Cooperação do Golfo, Abdul Rahman al
 - Attiya
-  Jantar oficial oferecido pelo Rei Abdullah bin Abdul Aziz Al Saud
-  Troca de condecorações
-  Reunião com o Rei Abdullah bin Abdul Aziz Al Saud
-  Cerimônia de assinatura de Atos
-  Café da manhã com lideranças econômicas sauditas, promovido  pela Autoridade Geral de Investimento da Arábia Saudita
-  Visita ao Centro para a Ciência e Tecnologia Rei Abdul Aziz
-  Almoço com empresários brasileiros e sauditas, oferecido pelo Conselho de Câmaras de Comércio e Indústria de Riade
-  Visita ao Museu Nacional da Arábia Saudita
-   Audiência ao Príncipe Alwaleed bin Talal
-  Audiência ao Príncipe Mohammed bin Nawaf bin Abdul Aziz Al-Saud
-  Encontro com a imprensa brasileira
-  Partida para Pequim",2009
China,Beijing,18 a 20 de maio,Host,"
-  Chegada a Pequim/China
-  Jantar privado oferecido pelo Presidente da China, Hu Jintao
-  Entrevista à CCTV 1
-  Cerimônia de inauguração do Centro de Estudos Brasileiros
-  Cerimônia  de  encerramento  do  Seminário  Brasil-China:  Novas  Oportunidades  para  a
 - Parceria Estratégica
-  Almoço com empresários brasileiros e chineses
-  Encontro com o Primeiro-Ministro da China, Wen Jiabao
-  Encontro com o Vice-Presidente da China, Xi Jinping
-  Encontro com o Presidente da Conferência Consultiva do Povo Chinês, Jia Qinglin
-  Cerimônia oficial de boas-vindas
-  Reunião de trabalho com o Presidente da China, Hu Jintao
-  Assinatura de atos
-  Banquete  em  homenagem  ao  Presidente  da  República,  oferecido  pelo  Presidente  da
 - China, Hu Jintao
 - Inspeção do satélite sino-brasileiro CBERS-3
-  Entrevista a jornais chineses e à CCTV 2
-  Assinatura de atos
-  Partida para Istambul/Turquia",2009
Turkey,Istanbul,20 e 21 de maio,Host,"
-  Chegada a Istambul
-  Encontro com o Primeiro-Ministro da Turquia, Recep Tayyip  Erdogan
-  Partida final da Copa da União das Associações Européias de Futebol (UEFA)
-  Encontro com o Presidente da Ucrânia, Viktor Yushchenko
-  Passeio de barco pelo Estreito de Bósforo
-  Sessão de encerramento do Seminário Empresarial Brasil-Turquia
-  Almoço  em  homenagem  ao  Presidente  da  República,  oferecido  pelo  Conselho  de
 - Relações Econômicas Internacionais da Turquia
-  Visita à Mesquita Azul
-  Visita ao Museu de Santa Sofia
-  Visita ao Palácio Topkapi
-  Jantar privado

-  [Ankara]
-  Cerimônia de deposição de flores
-  Cerimônia oficial de chegada
-  Encontro do Presidente da República e da senhora Marisa Letícia Lula da Silva com o -
 - Presidente da Turquia, Abdullah Gül, e senhora Hayrünissa Gül
-  Reunião privada o Presidente da Turquia, Abdullah Gül
-  Reunião ampliada
-  Assinatura de ato e conferência de imprensa
-  Reunião privada
-  Almoço privado
-  Encontro com o Presidente da Grande Assembléia Nacional da Turquia, Köksal Toptan
-  Jantar oficial em homenagem ao Presidente da República e à senhora Marisa Letícia
 - Lula  da  Silva,  oferecido  pelo  Presidente  da  Turquia,  Abdullah  Gül,  e  pela  senhora
 - Hayrünissa Gül
",2009
El Salvador,San Salvador and Guatemala City,01 e 02 de junho,Host,"
-  Posse do presidente eleito de El Salvador, Maurício Funes
-   Saudação das missões oficiais ao Presidente de El Salvador, Maurício Funes, e à senhora Vanda Pignato
-  Almoço em homenagem aos chefes de Estado e de Governo, vice-presidentes e príncipes herdeiros, oferecido pelo Presidente de El Salvador, Maurício Funes, e a senhora Vanda Pignato
-  Partida para a Cidade da Guatemala/Guatemala
 - Cidade da Guatemala (Guatemala)
-   Reunião com o prefeito da Cidade da Guatemala, Álvaro Arzú
-   Cerimônia de entrega das chaves da cidade da Guatemala
-   Visita à Escola-Tipo Federação nº 2
-   Almoço com o presidente da Guatemala, Álvaro Colom
-   Partida para São José/Costa Rica",2009
Guatemala,San Salvador and Guatemala City,01 e 02 de junho,Host,"
-  Posse do presidente eleito de El Salvador, Maurício Funes
-   Saudação das missões oficiais ao Presidente de El Salvador, Maurício Funes, e à senhora Vanda Pignato
-  Almoço em homenagem aos chefes de Estado e de Governo, vice-presidentes e príncipes herdeiros, oferecido pelo Presidente de El Salvador, Maurício Funes, e a senhora Vanda Pignato
-  Partida para a Cidade da Guatemala/Guatemala
 - Cidade da Guatemala (Guatemala)
-   Reunião com o prefeito da Cidade da Guatemala, Álvaro Arzú
-   Cerimônia de entrega das chaves da cidade da Guatemala
-   Visita à Escola-Tipo Federação nº 2
-   Almoço com o presidente da Guatemala, Álvaro Colom
-   Partida para São José/Costa Rica",2009
Costa Rica,San Jose,03 de junho,Host,"
-  Entrevista à rede CNN
-  Cerimônia oficial de chegada
-  Reunião com o presidente da Costa Rica, Óscar Arias
-   Cerimônia de assinatura de atos
-  Almoço oferecido pelo presidente da Costa Rica, Óscar Arias",2009
Switzerland,Geneva,"13, 14 e 15 de junho",Host,"
-  Partida para Genebra/Suíça
-  Chegada à Genebra/Suíça
-  Entrevista à imprensa esportiva internacional
-  Sessão do Conselho de Direitos Humanos
-  Encontro com grupo de sindicalistas
-  Assinatura de declaração conjunta pelo Presidente da República e pelo Diretor-Geral da Organização Internacional do Trabalho (OIT), Juan Somavia
-  Participação na 98ª Conferência Internacional do Trabalho
-  Almoço com o Presidente da França, Nicolas Sarkozy
-  Encontro com o Secretário-Geral da União Internacional de Telecomunicações (UIT),
 - Hamadoun Touré
-  Cerimônia de entrega do prêmio World Telecommunications and Information Society
-  Entrevista coletiva de imprensa
-  Partida para Ecaterimburgo/Rússia",2009
Russia,Yekaterinburg,16 de junho,Host,"
-  Reunião com o Presidente da Rússia, Dmitri Medvedev
-  Reunião reservada da Cúpula dos BRICs
-   Foto oficial
-  Reunião plenária da Cúpula dos BRICs
-  Declaração à imprensa
-  Jantar de trabalho oferecido pelo Presidente da Rússia, Dmitri Medvedev
-  Partida para Astana/Cazaquistão
-   Chegada a Astana/Cazaquistão",2009
Kazakhstan,Astana,17 de junho,Host,"
-   Entrevista à ERA TV e ao jornal Kaz Pravda
-   Cerimônia oficial de chegada
-   Encontro privado com o Presidente do Cazaquistão, Nursultan Nazarbayev
-   Reunião ampliada com o Presidente do Cazaquistão, Nursultan  Nazarbayev
-   Declaração à imprensa
-   Almoço em homenagem ao Presidente da República, oferecido pelo Presidente do
 - Cazaquistão, Nursultan Nazarbayev
-   Cerimônia de deposição floral em homenagem aos Defensores da Pátria
-   Encontro com o Primeiro-Ministro do Cazaquistão, Karim Massimov",2009
Libya,Tripoli,29 e 30 de junho,Host,"
-  Partida para Trípoli/Líbia
-  Chegada a Trípoli/Líbia
-  Entrevista à imprensa internacional

-  [Sirte]
-  Cerimônia de abertura da XIII Assembléia da União Africana
-  Foto oficial
-  Almoço oficial
",2009
France,Paris,03 a 07 de julho,Host,"
-  Partida para Paris/França
-   Chegada a Paris/França
-  Entrevista à rede BBC
-  Jantar com o Primeiro-Ministro de Portugal, José Sócrates
-  Encontro com a imprensa esportiva
-   Despacho interno
-  Encontro com Jacques Chirac, Ex-Presidente da França
-  Reunião de trabalho com o Presidente da França, Nicolas Sarkozy
-  Declaração conjunta à imprensa
-  Almoço Privado
-  Cerimônia de entrega do Prêmio Félix Houphouët-Boigny pela Busca da Paz
-  Partida para Roma
-  Chegada a Roma",2009
