Country,City/region,Period,Host,Overview,year
Portugal,Lisbon,10 de Janeiro,Host," - Encontro com o Presidente da República Portuguesa, Marcelo Rebelo de Sousa
 - Exéquias do ex-Presidente da República Portuguesa, Mário Soares",2017
Russia,Moscow,"20, 21 e 22 de Junho",Host," - Chegada a Moscou/Rússia
 - Encontro com o Presidente da Duma de Estado, Deputado Vyacheslav Volodin
 - Seminário de Captação de Investimentos Russos no Brasil
 - XIII Cerimônia de Encerramento do Concurso Internacional de Ballet do Teatro Bolshoi
 - Cerimônia de Aposição de Flores no Túmulo do Soldado Desconhecido
 - Encontro com a Senadora Valentina Matvienko, Presidente do Conselho da Federação da Rússia
 - Encontro com o senhor Dmitry Medvedev, Primeiro-Ministro da Federação da Rússia
 - Encontro com o senhor Vladimir Putin, Presidente da Federação da Rússia
 - Reunião Ampliada
 - Cerimônia de Assinatura de Atos Partida de Moscou para Oslo/Noruega",2017
Norway,Oslo,22 e 23 de Junho,Host," - Chegada a Oslo (Noruega)
 - Encontro com investidores noruegueses
 - Encontro com a Primeira-Ministra da Noruega, Erna Solberg
 - Conferência de Imprensa
 - Encontro com o Presidente do Parlamento da Noruega, Olemic Thommessen
 - Declaração à imprensa
 - Encontro com o Rei Harald V da Noruega
 - Almoço em homenagem ao Presidente da República oferecido pelo Rei Harald V da Noruega
 - Partida para o Brasil",2017
Germany,Hamburg,7 e 8 de Julho,Host," - Reunião dos Chefes de Estado e de Governo do BRICS
 - Cerimônia oficial de chegada dos Chefes de Estado/Governo do G
 - Reunião dos Chefes de Estado/Governo do G
 - Primeira Sessão de Trabalho
 - Segunda Sessão de Trabalho
 - Concerto em homenagem aos Chefes de Estado/Governo e cônjuges por ocasião da Cúpula do G
 - Jantar em homenagem aos Chefes de Estado e de Governo por ocasião da Cúpula do G
 - Terceira Sessão de Trabalho
 - Partida de Hamburgo para Brasília",2017
Argentina,Mendoza,21 de Julho,Host," - Sessão Plenária dos Senhores Presidentes dos Estados-Membros do Mercosul, Estados Associados, México e Convidados Especiais
 - Continuação da Sessão Plenária dos Senhores Presidentes dos Estados-Membros do Mercosul, Estados Associados, México e Convidados Especiais
 - Foto oficial da LI Cúpula do Mercosul
 - Almoço de trabalho dos Senhores Presidentes dos Estados-Membros do Mercosul, Estados Associados, México e Convidados Especiais
 - Partida para Brasília",2017
Portugal,Lisbon,29 e 30 Agosto,Host," - Chegada a Lisboa/Portugal
 - Encontro com o Presidente da República Portuguesa, Marcelo Rebelo de Sousa
 - Partida de Lisboa para Astana/Cazaquistão",2017
China,Beijing,31 de Agosto e 1º de Setembro,Host," - Partida de Astana/Cazaquistão para Pequim/China
 - Encontro com o senhor Shu Yinbiao, Presidente da State Grid Corporate of China
 - Encontro com o senhor Sun Yafang, Presidente do Conselho Huawei
 - Encontro com o senhor Chen Feng, Presidente do grupo empresarial HNA
 - Encontro com o senhor Lu Shun, Presidente da China Three Gorges Corporation
 - Oferenda floral
 - Encontro com o senhor Yu Zhengsheng, Presidente da Conferência Consultiva Política do Povo Chinês (CPPCC)
 - Encontro com o senhor Li Keqiang, Primeiro-Ministro da República Popular da China
 - Cerimônia oficial de chegada
 - Encontro com o Senhor Xi Jinping, Presidente da República Popular da China
 - Cerimônia de assinatura de atos
 - Jantar em homenagem ao Senhor Presidente da República, oferecido pelo Senhor Xi Jinping, Presidente da República Popular da China
 - Cerimônia de Encerramento do Seminário sobre Oportunidades de Investimento
 - Almoço de Encerramento do Seminário sobre Oportunidades de Investimento
 - [Xiamen]
 - Chegada ao Aeroporto Internacional de Xiamen
 - Encontro com os cinco empresários brasileiros do Conselho Empresarial do BRICS
 - Cerimônia de abertura do Fórum Empresarial do BRICS
 - Cerimônia de boas-vindas e foto de família dos Chefes de Estado e de Governo da IX Cúpula do Brics
 - Reunião reduzida dos Chefes de Estado e de Governo do Brics
 - Reunião ampliada dos Chefes de Estado e de Governo do Brics
 - Encontro com o Senhor Narendra Modi, Primeiro-Ministro da República da Índia
 - Cerimônia de Abertura do Festival Cultural do Brics e Exposição de Fotografias
 - Diálogo dos Chefes de Estado e de Governo do Brics com o Conselho Empresarial do Brics
 - Cerimônia de Assinatura de Atos
 - Cerimônia de boas-vindas e foto de família dos Chefes de Estado e de Governo e cônjuges do Diálogo de Economias Emergentes e Países em Desenvolvimento
 - Jantar oficial oferecido pelo senhor Xi Jinping, Presidente da República Popular da China, e pela senhora Peng Liyuan, em homenagem aos Chefes de Estado e de Governo e cônjuges do Diálogo de Economias Emergentes e Países em Desenvolvimento
 - Foto de Família dos Chefes de Estado e de Governo do Brics e do Diálogo de Economias Emergentes e Países em Desenvolvimento
 - Diálogo dos Chefes de Estado e de Governo do Brics e das Economias Emergentes e Países em Desenvolvimento
 - Partida de Xiamen para Astana/Cazaquistão
 - Partida de Astana para Lisboa/Portugal
 - Partida para Brasília",2017
United States of America,New York,18 a 20 de Setembro,Host," - Jantar oferecido pelo Presidente dos Estados Unidos da América, Donald Trump
 - Encontro com o senhor António Guterres, Secretário-Geral das Nações Unidas
 - Abertura do Debate Geral da 72ª Sessão da Assembleia Geral da ONU
 - Encontro com o senhor Mahmoud Abbas, Presidente do Estado da Palestina
 - Entrevista à ONU News
 - Encontro com o senhor Abdel Fattah El-Sisi, Presidente da República Árabe do Egito
 - Almoço de trabalho em homenagem ao senhor Michel Temer, Presidente da República, oferecido pelo Embaixador Mauro Vieira, Representante Permanente do Brasil junto às Nações Unidas
 - Encontro com o senhor Benjamin Netanyahu, Primeiro-Ministro de Israel
 - Encontro com o senhor Klaus Schwab, Presidente do Fórum Econômico Mundial
 - Encontro com os Chefes de Delegações dos Países-membros da Comunidade dos Países de Língua Portuguesa
 - Encontro com investidores, organizado pelo Conselho das Américas
 - Cerimônia de Assinatura do Tratado para a Proibição de Armas Nucleares
 - Encontro com o senhor David Granger, Presidente da República Cooperativa da Guiana
 - Encontro com o senhor Hassan Houhani, Presidente da República Islâmica do Irã
 - Cerimônia de Encerramento do Seminário de Oportunidades de Investimento no Brasil, promovido pelo Financial Times
 - Entrevista à Agência de Notícias Reuters
 - Partida de Nova York para Brasília/DF",2017
Argentina,Buenos Aires,10 de Dezembro,Host, - Sessão de Abertura da XI Reunião Ministerial da Organização Mundial do Comércio.,2017
