Country,City/region,Period,Host,Overview,year
Mexico,Monterrey,12 e 13 de Janeiro,Host, - Cúpula Extraordinária das Américas,2004
India,"New Deli, Agra and Bombay",25 a 28 de Janeiro,Host," - Chegada a Nova Delhi
 - Cerimônia oficial de chegada
 - Visita ao Memorial de Mahatma Gandhi - Oferenda Floral
 - Almoço privado
 - Visita de Cortesia do sr. Yashwant Sinha, ministro de
 - Encontro com o sr. Atal Bihari Vajpayee, primeiro-ministro da Índia
 - Reunião ampliada entre as delegações brasileira e indiana
 - Encontro com o sr. Abdul Kalan, presidente da República da Índia
 - Jantar oferecido pelo Presidente da Índia
 - Desfile do Dia da República
 - Recepção oferecida pelo Presidente da República da Índia
 - Visita de cortesia do Senhor Milinda Morogoda, Ministro de  Ciência e Tecnologia do Siri Lanka
 - Jantar Privado
 - Abertura  do  Encontro  ""Brasil-Índia  -  Desenvolvimento  Sustentável:    Perspectivas  e Possibilidades""
 - Visita de cortesia do sr. Arun Jaitley, ministro de Comércio e   Indústria da Índia
 - Encontro com lideranças empresariais indianas, co-patrocinado pela  Confederação das Indústrias  Indianas  (CII)  e  pela  Federação  das      Câmaras  de  Comércio  e  Indústria Indianas (FICCI) Secretaria de Imprensa e Divulgação
 - Almoço com as lideranças empresarias indianas
 - Inauguração da Exposição de Arte Popular Brasileira da Coleção do  Museu da Casa Pontal
 - Recepção na Residência da Embaixada do Brasil
 - Partida de Agra  para Mumbai
 - Chegada a Mumbai
 - Lançamento do Fórum Empresarial Brasil-India
 - Almoço empresarial, por ocasião do encerramento do Seminário   sobre Oportunidades de Negócios, Investimentos e Turismo   Brasil-India
 - Partida de para Genebra",2004
Switzerland,Geneva,28 a 30 de Janeiro,Host," - Chegada a Genebra
 - Jantar Privado
 - Encontro com dirigentes de grandes empresas estrangeiras
 - Encontro de Alto Nível para Investidores Estrangeiros
 - Entrevista coletiva sobre o Seminário para investidores estrangeiros   no Brasil
 - Recebe o Sr. Hans Joachim Nikolin, do Conselho de Direção do Grupo Continental
 - Recebe o sr. Pascoale Pistorio, presidente da ST Microeletronics
 - Recebe o presidente Itamar Franco, embaixador do Brasil na Itália
 - Visita ao Comitê Olímpico Internacional
 - Encontro com o Sr. Jacques Chirac, presidente da República Francesa
 - Encontro com o sr. Ricardo Lagos, presidente da República do Chile, o Sr. Jacques Chirac, presidente da República Francesa, e o sr. Kofi Annan, secretário-geral das Nações Unidas
 - Encontro com o sr. Kofi Annan, secretário-geral das Nações Unidas
 - Conferência de Imprensa
 - Partida para Brasília Secretaria de Imprensa e Divulgação",2004
Venezuela,Caracas,26 e 27 de Fevereiro,Host," - Reunião tripartite com o presidente da Venezuela, Hugo Chávez Frias, e com o presidente da Argentina, Nestor Kirchner
 - Cerimônia de Abertura da XII Cúpula do G-!
 - Primeira Sessão Plenária dos Chefes de Estado e de Governo dos países membros do G-1
 - Encontro com o presidente do Irã, Seyed Mohammed Khatami",2004
Ukraine,Kiev,22 de Maio,Host," - Visita aos principais sítios arquitetônicos e históricos de Kiev
 - Café da manhã com o presidente da Ucrânia, Leonid Kutchma
 - Partida para Pequim",2004
China,Beijing and Shanghai,25 a 27 de Maio,Host," - Chegada a Pequim
 - Almoço privado
 - Visita ao Palácio de Verão dos Imperadores
 - Coquetel de inauguração do escritório da Petrobras em Pequim
 - Jantar oferecido pela Petrobras em homenagem ao Presidente da  República e à senhora Marisa Letícia Lula da Silva
 - Encerramento do seminário “Brasil-China: Comércio e Investimentos Perspectivas para o século XXI” Secretaria de Imprensa e Divulgação
 - Almoço de encerramento do seminário “Brasil-China: Comércio e   Investimentos. Perspectivas para o Século XXI”
 - Cerimônia de boas-vindas
 - Reunião de Trabalho com o Presidente da República da China
 - Reunião de Trabalho ampliada
 - Assinatura de Atos
 - Banquete  de  Estado  oferecido  pelo  Presidente  da  China  e  senhora  Liu  Yongqing,  em homenagem ao senhor Presidente da República e à senhora Marisa Letícia Lula da Silva Salão Oeste do Grande Palácio do Povo
 - Inauguração do Núcleo de Cultura Brasileira na Universidade de Pequim
 - Conferência do Presidente da República na Universidade de Pequim:  “Política Externa Brasileira no Século XXI e o Papel da Parceria Estratégica Sino-Brasileira”
 - Inauguração da exposição “Amazônia: Tradições Nativas”
 - Partida para Xangai em vôo especial da Força Aérea Brasileira Xangai
 - Chegada a Xangai
 - Audiência concedida ao presidente do Banco Mundial, James Wolfensohn
 - Abertura da conferência do Banco Mundial sobre Combate à Pobreza
 - Encontro bilateral com o primeiro-ministro da República Popular da China, Wen Jiabao
 - Cerimônia de encerramento do seminário “Brasil-China: uma Parceria de Sucesso”
 - Conferência de imprensa
 - Audiência concedida à presidente da empresa Baosteel, sra. Xie Qihua
 - Audiência concedida ao presidente da Tanzânia, Benjamin Mkapa
 - Encontro com a comunidade brasileira
 - Jantar privado
 - Café da manhã com lideranças empresariais
 - Audiência concedida à primeira-ministra da República Popular de Bangladesh, Begum Khaleda Zia
 - Encontro com o Prefeito de Xangai
 - Banquete oferecido pelo Prefeito de Xangai em homenagem ao presidente Luiz Inácio Lula da Silva
 - Partida para Guadalajara, México Secretaria de Imprensa e Divulgação",2004
Mexico,Guadalajara,27 a 28 de Maio,Host," - Café da manhã de trabalho com o senhor José Luiz Rodriguez Zapatero,   presidente do governo da Espanha
 - Abertura da III Reunião de chefes de Estado e de Governo da América Latina e Caribe - União Européia
 - Mesa de Trabalho sobre Multilateralismo
 - Encontro com o senhor Romano Prodi, presidente da Comissão Européia
 - Encontro de trabalho com o senhor Oscar Berger, presidente da Guatemala
 - Reunião de trabalho com o senhor Jacques Chirac, presidente da República Francesa
 - Fotografia oficial dos chefes de Estado e de Governo
 - Almoço oferecido pelo senhor Vicente Fox Quesada, presidente dos Estados Unidos Mexicanos, aos chefes das delegações participantes da III Cúpula América Latina e Caribe - União Européia
 - Encontro de trabalho com o senhor Vicente Fox Quesada, presidente dos Estados Unidos Mexicanos
 - Reunião de trabalho sobre Coesão Social
 - Encontro de trabalho com o senhor Gerhard Schröder, chanceler Federal da Alemanha
 - Encontro de trabalho com o senhor Nicanor Duarte Frutos, presidente da República do Paraguai
 - Encontro de trabalho com o senhor Carlos Mesa, presidente da República da Bolívia
 - Sessão plenária para apresentação de relatórios e encerramento
 - Encontro de trabalho com o senhor Aleksander Kwasniewski, presidente da Polônia
 - Partida, em vôo especial da Força Aérea Brasileira,  para Brasília",2004
United States of America,New York,22 a 24 de Junho,Host," - Encontro de Alto Nível com Investidores
 - Seminário “Brazil meets markets”
 - Encontro com o senhor John Snow, Secretário do Tesouro dos EUA
 - Encontro com dirigentes do Citigroup
 - Lançamento do Serviço “CAIXA: Remessas de Recursos de Brasileiros Residentes no Exterior”
 - Abertura do “Global Compact Leaders Summit”
 - Encontro com o senhor Jay Aseelan Naidoo, presidente do Banco de Secretaria de Imprensa e Divulgação Desenvolvimento da  África Austral
 - Encontro com diretores do jornal The Wall Street Journal
 - Encontro com o senhor Juan Somavia, diretor-geral da Organização    Internacional do Trabalhador
 - Encontro com o Secretário-Geral das Nações Unidas",2004
Argentina,Puerto Iguazú,07 e 08 de Julho,Host," - Encontro com o presidente da Venezuela, Hugo Cháves Frias
 - Jantar oferecido pelo presidente da Argentina, Néstor Kirchner, em homenagem aos presidentes e ministros do Mercosul, Estados Associados e convidados especiais
 - Reunião de Cúpula dos chefes de Estados do Mercosul, Estados Associados e estados convidados",2004
Bolivia,Santa Cruz de la Sierra,08 de Julho,Host," - Encontro de trabalho com Carlos Mesa, presidente da República da Bolívia
 - Cerimônia de Assinatura de Atos
 - Cerimônia de Comemoração dos 20 anos de relançamento da Câmara Nacional de Comércio Brasileiro-Boliviana",2004
