Country,City/region,Period,Host,Overview,year
Chile,Santiago,26 de janeiro,Host,"
-  Fotografia oficial
-  Café da manhã de trabalho com o Presidente da República do Chile, Sebastián Piñera
-  Cerimônia de assinatura de atos
-  Declaração à imprensa
-  Encontro bilateral com o Presidente do México, Enrique Peña Nieto
-  Encontro com a chanceler da República Federal da Alemanha, Angela Merkel
-  Cerimônia de abertura da I Cúpula CELAC-União Europeia
-  Primeiro retiro dos chefes de delegação da I Cúpula CELAC-União Europeia",2013
Equatorial Guinea,Malabo,22 de fevereiro,Host,"
-  Cerimônia de abertura da III Cúpula América do Sul-África
-  Fotografia oficial
-  Almoço oferecido pelo Presidente da República da Guiné Equatorial, Teodoro
 - Obiang Nguema Mbasogo e senhora, em homenagem aos Chefes de Estado e de
 - Governo da III Cúpula América do Sul-África
-  Sessão Plenária da III Cúpula América do Sul-África
-  Sessão Pública
-  Partida para Abuja / Nigéria
-  Chegada a Abuja / Nigéria",2013
Nigeria,Abuja,23 de fevereiro,Host,"
-  Cerimônia oficial de chegada
-  Encontro privado com o Presidente da República Federal da Nigéria, Goodluck Ebele
 - Jonathan
-  Reunião ampliada entre a delegação brasileira e a delegação nigeriana
-  Cerimônia de assinatura de atos
-  Declaração à imprensa
-  Almoço oferecido pelo Presidente da República Federal da Nigéria, Goodluck Ebele
 - Jonathan
-  Cerimônia de encerramento do Encontro Empresarial Brasil/Nigéria
-  Partida para Brasília (DF)",2013
Venezuela,Caracas,07 e 08 de março,Host,"
-  Cerimônias fúnebres e homenagem a Hugo Chávez
- Retorno para Brasília (DF)
- Chegada a Brasília (DF)",2013
Italy,Rome,"17, 18, 19 e 20 de março",Host,"
-  Chegada em Roma / Itália
-  Visita à sede da  Organização das Nações Unidas para Alimentação e
Agricultura - FAO
-  Presidente da Itália,  Giorgio Napolitano
 - Missa inaugural do Pontificado de Sua Santidade, Papa Francisco
-  Encontro com Sua Santidade, Papa Francisco
-  Partida para Brasília/DF",2013
South Africa,Durban,26 e 27 de março,Host,"
-  Chegada a Durban
-  Reunião com o Presidente da África do Sul, Jacob Zuma
-  Cerimônia de abertura da V Cúpula de Chefes de Estado e de Governo dos BRICS
-  Jantar em homenagem aos Chefes de Estado e de Governo dos BRICS e da África oferecido pelo Presidente da República da África do Sul, Jacob Zuma
-  Café da manhã oferecido pelo Presidente da República da África do Sul, Jacob Zuma, aos Chefes de Estado e de Governo e empresários dos BRICS, oferecido pelo
 - Presidente da República da África do Sul, Jacob Zuma
 - Início do Retiro dos Chefes de Estado e de Governo dos BRICS e da África
-  Fotografia oficial
-  Sessões de trabalho
-  Sessão I - Promoção do Crescimento e Governança Global
-  Sessão II - Parcerias para o Desenvolvimento, Integração e Industrialização
-  Sessão Plenária - “BRICS e África: Parceria para o Desenvolvimento, Integração e
 - Industrialização”
-  Cerimônia de assinatura de atos
-  Declaração à imprensa
-  Almoço oferecido pelo Presidente da República da África do Sul, Jacob Zuma, aos
 - Chefes de Estado e de Governo dos BRICS
-  Fórum de Diálogo BRICS/África
-  Fotografia oficial
-  Coquetel oferecido pelo Presidente da República da África do Sul, Jacob Zuma, aos
 - Chefes de Estado e de Governo dos BRICS e convidados especiais
-  Encontro com o Presidente da China, Xi Jinping
-  Partida para Brasília/DF",2013
Peru,Lima,18 de abril,Host,"
-  Reunião da Cúpula Extraordinária da Unasul
-  Partida para Caracas/Venezuela",2013
Venezuela,Caracas,19 de abril,Host,"
-  Sessão solene de posse do Presidente da Venezuela, Nicolás Maduro",2013
Argentina,Buenos Aires,25 de abril,Host,"
-  Primeira reunião de trabalho
-  Jantar oferecido pela Presidenta da Nação Argentina em homenagem à Presidenta da República e comitiva",2013
Ethiopia,Adis Abeba,24 e 25 de maio,Host,"
-  Chegada a Adis Abeba / Etiópia
-  Encontro com o Primeiro-Ministro da República da Etiópia, Hailemariam Desalegn
-  Sessão Temática do Cinquentenário da Organização da Unidade Africana (OUA) -
 - União Africana
-  Fotografia oficial dos Chefes de Estado e de Governo
-  Almoço em homenagem aos Chefes de Estado e de Governo oferecido pelo -Primeiro-
 - Ministro da Etiópia e pela Presidenta da Comissão da União Africana
-  Cerimônia de comemoração do Cinquentenário da Unidade Africana (OUA) - União
 - Africana
-  Partida para Brasília/DF",2013
